nodes,type
3862814,slack
45253,transit
2577411,transit
2818152,transit
2818028,transit
2818164,transit
3294602,transit
3294607,transit
2818011,transit
3294613,transit
45255,transit
2387418,transit
45256,transit
3814154,transit
3070098,transit
3814155,transit
45258,transit
3071513,transit
2524872,transit
2524875,transit
45284,transit
2537258,transit
45285,transit
2537263,transit
3587463,transit
3587516,transit
3587511,transit
45289,transit
3225993,transit
43271,transit
2528143,transit
2528052,transit
2528049,transit
3225979,transit
2528018,transit
45290,transit
3226289,transit
45291,transit
2818169,transit
2818025,transit
1272455,transit
45257,transit
1671006,transit
1671719,transit
2524886,transit
2524876,transit
2524881,transit
1351946,transit
2537268,transit
2537255,transit
44452,transit
2528148,transit
2528062,transit
2528057,transit
43270,transit
2528023,transit
2235300,transit
0,load
9078502,load
15157401,load
15157201,load
37879071,load
15148801,load
15148601,load
8913801,load
35300501,load
15157701,load
36215201,load
31919001,load
31570101,load
37461371,load
37460871,load
8822001,load
9079102,load
15186101,load
15124701,load
9078602,load
9078601,load
