nodefrom,nodeto,cable,length,kind,PCR
3863979,112198,BT - Desconocido BT,1.0,Subterráneo,0
112198,3225703,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",60.0,Subterráneo,0
3225703,3225698,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",31.0,Subterráneo,0
3225698,3225696,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",19.0,Subterráneo,0
3225696,1415784,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",29.0,Subterráneo,0
1415784,1226503,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,Subterráneo,0
1415784,1415793,"BT - RV 0,6/1 KV 4*95 KAL",3.0,Subterráneo,100734481
1226503,3225687,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",8.48,Subterráneo,0
3225687,1476116,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.41,Subterráneo,0
3863979,112209,BT - Desconocido BT,1.0,Subterráneo,0
112209,3226285,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",60.0,Subterráneo,0
3226285,1300859,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.0,Subterráneo,0
1300859,1486638,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,Subterráneo,0
1486638,1486643,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,100741045
1486638,3158158,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",14.0,Aéreo,0
3158158,1486648,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",28.0,Aéreo,38352401
1486648,2579513,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",96.0,Aéreo,15140101
2579513,41532,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",5.0,Aéreo,0
3863979,112213,BT - Desconocido BT,1.0,Subterráneo,0
112213,3226266,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",60.0,Subterráneo,0
3226266,3226272,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",32.0,Subterráneo,0
3226272,3226276,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,Subterráneo,0
3226276,3226280,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",11.0,Subterráneo,0
3226280,525312,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,Subterráneo,0
525312,525317,"BT - RV 0,6/1 KV 4*95 KAL",7.0,Subterráneo,100179500
3863979,112205,BT - Desconocido BT,1.0,Subterráneo,0
112205,2528492,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",31.0,Subterráneo,0
2528492,2528495,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,Subterráneo,0
2528492,2528505,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.0,Subterráneo,38849271
2528495,2528531,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",19.0,Subterráneo,0
2528495,2528500,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.0,Subterráneo,38849471
2528531,2528547,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",29.0,Subterráneo,0
2528531,2528536,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,38849371
2528531,2528541,"BT - RV 0,6/1 KV 2*25 KAL",5.0,Subterráneo,101666753
2528547,2528555,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",29.0,Subterráneo,0
2528547,2528552,"BT - RV 0,6/1 KV 4*95 KAL",13.0,Subterráneo,38849071
2528555,2528568,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",27.0,Subterráneo,0
2528555,2528560,"BT - RV 0,6/1 KV 4*95 KAL",5.0,Subterráneo,37419701
2528568,2528574,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",22.0,Subterráneo,0
2528568,2611118,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.0,Subterráneo,0
2528574,2528579,"BT - RV 0,6/1 KV 4*95 KAL",3.0,Subterráneo,39311201
2611118,1476152,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,Subterráneo,0
2611118,3225677,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",8.87,Subterráneo,0
1476152,2528595,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,36555201
1476152,1476173,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",15.0,Subterráneo,0
3225677,2537154,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",22.91,Subterráneo,0
1476173,3225682,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,Subterráneo,0
1476173,1476197,"BT - RV 0,6/1 KV 4*25 KAL",4.0,Subterráneo,15175901
2537154,2537145,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",11.29,Subterráneo,0
2537154,2537159,"BT - RV 0,6/1 KV 4*95 KAL",2.38,Subterráneo,37189901
3225682,1476136,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.32,Subterráneo,0
2537145,2537137,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",17.22,Subterráneo,0
2537145,2537151,"BT - RV 0,6/1 KV 4*95 KAL",2.08,Subterráneo,37185301
2537137,2537129,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",6.11,Subterráneo,0
2537137,2537142,"BT - RV 0,6/1 KV 4*95 KAL",1.62,Subterráneo,37185201
2537129,2537120,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",15.0,Subterráneo,0
2537129,2537134,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,31137501
2537120,2537112,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",12.0,Subterráneo,0
2537120,2537125,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,31137301
2537112,2537104,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",28.0,Subterráneo,0
2537112,2537117,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,31137601
2537104,1272346,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",12.61,Subterráneo,0
2537104,2537109,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,31137401
