nodes,type
3863979,slack
112198,transit
3225703,transit
3225698,transit
3225696,transit
1415784,transit
1226503,transit
3225687,transit
112209,transit
3226285,transit
1300859,transit
1486638,transit
3158158,transit
1486648,transit
2579513,transit
112213,transit
3226266,transit
3226272,transit
3226276,transit
3226280,transit
525312,transit
112205,transit
2528492,transit
2528495,transit
2528531,transit
2528547,transit
2528555,transit
2528568,transit
2528574,transit
2611118,transit
1476152,transit
3225677,transit
1476173,transit
2537154,transit
3225682,transit
2537145,transit
2537137,transit
2537129,transit
2537120,transit
2537112,transit
2537104,transit
1272346,transit
2537271,transit
112228,transit
3226221,transit
1118814,transit
1118897,transit
1118902,transit
112235,transit
324101,transit
3226252,transit
3226253,transit
3226257,transit
512385,transit
1327275,transit
3226262,transit
1415793,transit
1476116,transit
1486643,transit
41532,transit
525317,transit
2528505,transit
2528500,transit
2528536,transit
2528541,transit
2528552,transit
2528560,transit
2528579,transit
2528595,transit
1476197,transit
2537159,transit
1476136,transit
2537151,transit
2537142,transit
2537134,transit
2537125,transit
2537117,transit
2537109,transit
1272360,transit
1272003,transit
1118829,transit
1118839,transit
231563,transit
1327284,transit
455227,transit
0,load
100734481,load
100741045,load
38352401,load
15140101,load
100179500,load
38849271,load
38849471,load
38849371,load
101666753,load
38849071,load
37419701,load
39311201,load
36555201,load
15175901,load
37189901,load
37185301,load
37185201,load
31137501,load
31137301,load
31137601,load
31137401,load
37864101,load
100328239,load
100328346,load
100344372,load
15175401,load
