nodes,type
3858952,slack
2500353,transit
3225733,transit
43434,transit
620578,transit
620568,transit
3195063,transit
3324662,transit
3324107,transit
2500334,transit
3195036,transit
2500330,transit
3194187,transit
2500376,transit
3194210,transit
3214156,transit
620587,transit
620577,transit
3324072,transit
1474215,transit
1474225,transit
1474097,transit
2086998,transit
3194205,transit
2537209,transit
0,load
37890671,load
37890271,load
100593333,load
100707930,load
100707903,load
100788184,load
500009177,load
15185301,load
15185201,load
15185101,load
