ID,PCR,Fase
SAG0125356782,37890671,S
ZIV0040302551,100788184,R
ZIV0040430212,15185101,R
ZIV0040430232,37890671,T
ZIV0040430233,37890671,R
ZIV0040430234,37890671,S
ZIV0040430235,37890671,R
ZIV0040430236,37890671,T
ZIV0040430237,37890671,R
ZIV0040430238,37890671,S
ZIV0040430239,37890671,S
ZIV0040430240,37890671,S
ZIV0040430241,37890671,T
ZIV0040430331,100788184,R
ZIV0040430532,100788184,T
ZIV0040430534,37890671,S
ZIV0040430535,37890671,R
ZIV0040430536,37890671,R
ZIV0040430537,100788184,R
ZIV0040430539,37890671,T
ZIV0040430540,37890671,T
ZIV0040430541,37890671,R
ZIV0040637026,100707903,RST
ZIV0040637095,100707903,RST
ZIV0040637171,100788184,RST
ZIV0040637173,500009177,RST
ZIV0042302560,37890671,RST
ZIV0042302658,37890271,RST
ZIV0044822102,15185201,R
ZIV0044842535,37890271,T
ZIV0044842536,37890271,T
ZIV0044842537,37890271,R
ZIV0044842538,37890271,T
ZIV0044842539,37890271,S
ZIV0044842540,37890271,T
ZIV0044842541,37890271,R
ZIV0044842542,37890271,R
ZIV0044842543,37890271,R
ZIV0044842544,37890271,S
ZIV0044842595,37890271,R
ZIV0044842596,37890271,T
ZIV0044842597,37890271,S
ZIV0044842598,37890271,S
ZIV0044842599,37890271,S
ZIV0044842600,37890271,T
ZIV0044842601,37890271,S
ZIV0044842602,37890271,S
ZIV0044842603,37890271,T
ZIV0044842604,37890271,R
ZIV0044842687,100788184,R
ZIV0044842688,100788184,T
ZIV0044842689,100788184,T
ZIV0044842691,100788184,S
ZIV0044842692,100707903,R
ZIV0044842694,100788184,S
ZIV0044844027,100707903,R
ZIV0044844028,100707903,R
ZIV0044844029,100707903,S
ZIV0044844032,100707903,R
ZIV0044844033,100707903,T
ZIV0044844034,100707903,R
ZIV0044844055,100707903,T
ZIV0044844056,100707903,S
ZIV0044844057,100707903,S
ZIV0044844058,100707903,T
ZIV0044844059,100707903,S
ZIV0044844060,100707903,T
ZIV0044844061,100707903,S
ZIV0044844062,100707903,R
ZIV0044844063,100707903,S
ZIV0044844064,100707903,T
ZIV0045431463,37890271,RST
ZIV0045431468,37890271,RST
ZIV0050025391,100788184,T
ZIV0040431920,100707930,R
ZIV0040637096,100707930,RST
ZIV0044842395,100707930,S
ZIV0044842396,100707930,T
ZIV0044842397,100707930,T
ZIV0044842398,100707930,S
ZIV0044842399,100707930,T
ZIV0044842400,100707930,T
ZIV0044842401,100707930,R
ZIV0044842402,100707930,S
ZIV0044842403,100707930,S
ZIV0044842404,100707930,R
ZIV0045431520,100707930,RST
