nodefrom,nodeto,cable,length,kind,PCR
3858952,2500353,BT - Desconocido BT,1.0,Subterráneo,0
2500353,3225733,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.57,Subterráneo,0
3225733,43434,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",18.73,Subterráneo,0
43434,620578,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.69,Subterráneo,0
620578,620568,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",28.62,Subterráneo,0
620578,620587,"BT - RV 0,6/1 KV 4*95 KAL",2.55,Subterráneo,37890671
620568,620577,"BT - RV 0,6/1 KV 4*95 KAL",2.54,Subterráneo,37890271
620568,3195063,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",30.31,Subterráneo,0
3195063,3324662,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.33,Subterráneo,0
3195063,3324072,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.03,Subterráneo,100593333
3324662,1474215,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",4.26,Subterráneo,100707930
3324662,3324107,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",15.48,Subterráneo,0
3324107,1474225,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.81,Subterráneo,100707903
3324107,1474097,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.26,Subterráneo,0
3858952,2500334,BT - Desconocido BT,1.0,Subterráneo,0
2500334,3195036,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",56.0,Subterráneo,0
3195036,2086998,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",31.0,Subterráneo,100788184
3858952,2500330,BT - Desconocido BT,1.0,Subterráneo,0
2500330,3194187,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",108.0,Subterráneo,0
3194187,2500376,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",43.0,Subterráneo,0
2500376,3194205,"BT - RV 0,6/1 KV 4*95 KAL",7.0,Subterráneo,500009177
2500376,3194210,"BT - RV 0,6/1 KV 4*25 KAL",6.0,Subterráneo,15185301
3194210,3214156,"BT - RZ 0,6/1 KV 3*25 AL/54,6 ALM",12.0,Aéreo,15185201
3214156,2537209,"BT - RZ 0,6/1 KV 3*25 AL/54,6 ALM",12.07,Aéreo,15185101
