nodefrom,nodeto,cable,length,PCR
3860743,1638944,BT - Desconocido BT,1.0,0
1638944,2580668,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",111.0,30202801
2580668,2580708,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",34.0,30203001
2580708,2580718,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",21.0,30402601
2580718,45656,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",13.31,0
45656,42007,BT - Desconocido BT,23.0,0
3860743,1638945,BT - Desconocido BT,1.0,0
1638945,2577012,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",35.0,15154401
2577012,2580885,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",22.0,15154501
2580885,2580775,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",18.0,4282802
2580775,2537540,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",23.0,8800302
2537540,42366,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",13.0,0
2537540,2537545,BT - MANGUERA,2.98,8800301
3860743,1638947,BT - Desconocido BT,1.0,0
1638947,2578501,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",22.0,15154302
2578501,2578511,BT - MANGUERA,4.57,36446701
2578501,2578516,BT - MANGUERA,3.33,35279401
2578501,2580896,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",34.0,15162801
2580896,45650,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",12.0,0
45650,2580906,BT - Desconocido BT,15.0,15163001
2580906,2580916,BT - Desconocido BT,17.88,15163101
2580916,2580925,BT - Desconocido BT,19.0,15163201
2580925,42345,BT - Desconocido BT,19.0,0
3860743,1638950,BT - Desconocido BT,1.0,0
1638950,3226486,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",63.0,0
3226486,1639484,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",16.0,0
1639484,1639479,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",57.0,0
1639484,1639494,"BT - RV 0,6/1 KV 4*25 KAL",13.0,15162901
1639484,1639499,"BT - RV 0,6/1 KV 4*25 KAL",3.0,4282701
1639479,1639459,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",10.71,0
1639494,2519849,"BT - RZ 0,6/1 KV 4*16 AL",7.0,500005211
