ID,PCR,Fase
SAG0145443314,30203001,R
SAG0145451002,15163101,(Mono)
ZIV0034671749,15154501,R
ZIV0034674089,30402601,R
ZIV0034674160,30203001,S
ZIV0034850059,15163101,S
ZIV0034850060,15163101,T
ZIV0034850061,15163101,T
ZIV0034850062,15163101,S
ZIV0034850063,15163101,S
ZIV0034850064,15163101,R
ZIV0034850065,15163101,R
ZIV0034850066,15163101,R
ZIV0034850067,15163101,T
ZIV0034850068,15163101,S
ZIV0034854530,15162801,R
ZIV0034854531,15162801,T
ZIV0034854532,15162801,S
ZIV0034854535,15162801,T
ZIV0034854536,15162801,S
ZIV0034854537,15162801,S
ZIV0034854599,4282701,R
ZIV0034854600,15162901,(Mono)
ZIV0034854604,4282701,(Mono)
ZIV0034854605,4282701,S
ZIV0034854659,15162801,T
ZIV0034854660,15162801,S
ZIV0034854661,15162801,T
ZIV0034854662,15162801,S
ZIV0034854663,15162801,R
ZIV0034854664,15162801,T
ZIV0034854665,15162801,R
ZIV0034854666,15162801,T
ZIV0034854667,15162801,R
ZIV0034854668,15162801,R
ZIV0034854669,15163001,T
ZIV0034854671,15163001,R
ZIV0034854672,15163001,S
ZIV0034854673,15163001,S
ZIV0034854674,15163001,T
ZIV0034854675,15163001,S
ZIV0034854676,15163001,(Mono)
ZIV0034854677,15163001,R
ZIV0034854689,15163101,S
ZIV0034854691,15163101,S
ZIV0034854692,15163101,R
ZIV0034854693,15163101,(Mono)
ZIV0034854694,15163101,T
ZIV0034854695,15163101,T
ZIV0034854696,15163101,T
ZIV0034854697,15163101,T
ZIV0034854698,15163101,S
ZIV0034854712,15163201,S
ZIV0034854717,15163201,T
ZIV0034854749,15163201,S
ZIV0034854750,15163201,S
ZIV0034854751,15163201,S
ZIV0034854752,15163201,R
ZIV0034854753,15163201,R
ZIV0034854754,15163201,R
ZIV0034854755,15163201,R
ZIV0034854756,15163201,T
ZIV0034854757,15163201,T
ZIV0034854758,15163201,S
ZIV0034854819,15163001,R
ZIV0034854820,15163001,R
ZIV0034854821,15163001,T
ZIV0034854822,15163001,R
ZIV0034854823,15163001,R
ZIV0034854824,15163001,T
ZIV0034854825,15163001,T
ZIV0034854826,15163001,S
ZIV0034854827,15163001,S
ZIV0034854828,15163001,S
ZIV0034854911,15163101,T
ZIV0034854912,15163101,R
ZIV0034854913,15163101,R
ZIV0034854916,15163101,T
ZIV0034854917,15163101,S
ZIV0034854919,15154501,T
ZIV0034854920,15154501,R
ZIV0034854921,15154501,S
ZIV0034854922,15154501,R
ZIV0034854923,15154501,R
ZIV0034854925,15154501,R
ZIV0034854927,15154501,T
ZIV0034854928,4282701,T
ZIV0034854929,15163001,R
ZIV0034854930,15163001,R
ZIV0034854934,15163001,S
ZIV0034854935,15163001,S
ZIV0034854936,15163001,T
ZIV0034854937,15163001,(Mono)
ZIV0034859448,30402601,(Mono)
ZIV0034859701,15154401,S
ZIV0034861911,8800302,S
ZIV0034863110,8800301,T
ZIV0034863129,30402601,R
ZIV0034863131,30402601,S
ZIV0034863132,30402601,R
ZIV0034863133,30402601,(Mono)
ZIV0034863134,30402601,S
ZIV0034863135,30402601,T
ZIV0034863136,30402601,S
ZIV0034863137,30402601,S
ZIV0034863138,30402601,S
ZIV0034866729,30402601,T
ZIV0034866730,30402601,S
ZIV0034866731,30402601,R
ZIV0034866734,30402601,T
ZIV0034866736,30402601,T
ZIV0034866737,30402601,T
ZIV0034866739,30202801,T
ZIV0034866740,30202801,S
ZIV0034866742,30202801,T
ZIV0034866744,30202801,R
ZIV0034866745,30202801,R
ZIV0034866748,30202801,R
ZIV0034866899,8800302,T
ZIV0034866900,8800302,S
ZIV0034866901,8800302,T
ZIV0034866902,8800302,T
ZIV0034866903,8800302,S
ZIV0034866904,8800302,R
ZIV0034866905,8800302,R
ZIV0034866906,8800302,R
ZIV0034866907,8800302,T
ZIV0034866908,8800302,S
ZIV0034867063,8800302,(Mono)
ZIV0034867064,8800302,S
ZIV0034867141,8800302,R
ZIV0034867143,30203001,R
ZIV0034867145,30203001,S
ZIV0034867147,30203001,T
ZIV0034867148,30203001,T
ZIV0034867159,30202801,R
ZIV0034867160,30202801,S
ZIV0034867161,30202801,T
ZIV0034867162,30202801,S
ZIV0034867164,30202801,T
ZIV0034867165,30202801,S
ZIV0034867166,30202801,R
ZIV0034867167,30202801,T
ZIV0034867168,30202801,R
ZIV0034867179,30203001,T
ZIV0034867180,30203001,T
ZIV0034867181,30203001,T
ZIV0034867182,30203001,R
ZIV0034867183,30203001,T
ZIV0034867185,30203001,S
ZIV0034867186,30203001,R
ZIV0034867187,30203001,S
ZIV0034867188,30203001,R
ZIV0034867189,8800302,T
ZIV0034867190,8800302,R
ZIV0034867191,8800302,T
ZIV0034867192,8800302,S
ZIV0034867193,8800302,T
ZIV0034867194,8800302,R
ZIV0034867195,8800302,S
ZIV0034867196,8800302,S
ZIV0034867197,8800302,R
ZIV0034867198,8800302,S
ZIV0036288871,36446701,RST
ZIV0036292115,15163001,RST
ZIV0036292171,15154302,RST
ZIV0036292246,15162801,RST
ZIV0036292247,15162801,RST
ZIV0036294385,500005211,RST
ZIV0036295024,30402601,RST
ZIV0036295025,30202801,RST
ZIV0036295028,30203001,RST
ZIV0036295029,30203001,RST
ZIV0036295030,30202801,RST
ZIV0036299084,15162801,RST
ZIV0036299087,15163101,RST
ZIV0036299445,15154501,RST
ZIV0036309423,15154501,RST
ZIV0036309623,15163001,RST
ZIV0036309628,15154401,RST
ZIV0036312871,8800302,RST
ZIV0036312875,8800302,RST
ZIV0040637206,35279401,RST
ZIV0042302659,15163101,RST
ZIV0042302660,15163201,RST
ZIV0046916810,15163001,S
ZIV0046916827,15163201,T
ZIV0046917103,15163001,R
ZIV0046917242,30203001,S
ZIV0046921924,15154401,T
ZIV0046921925,15154401,R
ZIV0046921926,15154401,T
ZIV0046921927,15154401,T
ZIV0046921928,15154401,T
ZIV0046921929,15154401,R
ZIV0046921930,15154401,R
ZIV0046921931,15154401,S
ZIV0046921932,15154401,T
ZIV0046922233,15154401,T
ZIV0046922234,15154401,R
ZIV0046922237,15154401,S
ZIV0046922238,15154401,R
ZIV0046922239,15154401,R
ZIV0046922240,15154401,R
ZIV0046922241,15154401,T
ZIV0046923353,15154302,R
ZIV0046923355,15154302,T
ZIV0046923356,15154302,T
ZIV0046923357,15154302,S
ZIV0046923358,15154302,R
ZIV0046923359,15154302,T
ZIV0046923360,15154302,T
ZIV0046923361,15154302,(Mono)
ZIV0046923362,15154302,S
ZIV0046923513,15154501,S
ZIV0046923514,15154501,S
ZIV0046923515,15154501,T
ZIV0046923516,15154501,R
ZIV0046923517,15154501,T
ZIV0046923518,15154501,(Mono)
ZIV0046923519,15154501,R
ZIV0046923520,15154501,R
ZIV0046923521,15154501,R
ZIV0046923522,15154501,R
ZIV0046923526,15154501,T
ZIV0046923527,15154501,S
ZIV0046923530,15154501,S
ZIV0046923531,15154501,T
ZIV0046923532,15154501,S
ZIV0046923543,15154401,T
ZIV0046923544,15154401,S
ZIV0046923545,15154401,S
ZIV0046923546,15154401,R
ZIV0046923547,15154401,T
ZIV0046923548,15154401,S
ZIV0046923549,15154401,S
ZIV0046923550,15154401,T
ZIV0046923551,15154401,R
ZIV0046923552,15154401,S
ZIV0046924563,15154302,S
ZIV0046924564,15154302,R
ZIV0046924565,15154302,S
ZIV0046924566,15154302,R
ZIV0046924571,15154302,S
ZIV0046924572,15154302,S
ZIV0046928204,15162801,R
ZIV0046992309,30203001,S
ZIV0050025396,15154302,T
