nodes,type
3860743,slack
1638944,transit
2580668,transit
2580708,transit
2580718,transit
45656,transit
1638945,transit
2577012,transit
2580885,transit
2580775,transit
2537540,transit
1638947,transit
2578501,transit
2580896,transit
45650,transit
2580906,transit
2580916,transit
2580925,transit
1638950,transit
3226486,transit
1639484,transit
1639479,transit
1639494,transit
42007,transit
42366,transit
2537545,transit
2578511,transit
2578516,transit
42345,transit
1639499,transit
1639459,transit
2519849,transit
0,load
30202801,load
30203001,load
30402601,load
15154401,load
15154501,load
4282802,load
8800302,load
8800301,load
15154302,load
36446701,load
35279401,load
15162801,load
15163001,load
15163101,load
15163201,load
15162901,load
4282701,load
500005211,load
