nodes,type
3862813,slack
46598,transit
3158232,transit
92823,transit
2509167,transit
46611,transit
2509154,transit
2577052,transit
3795218,transit
46600,transit
653206,transit
1032388,transit
92830,transit
3226497,transit
2509246,transit
2577231,transit
1032397,transit
2509251,transit
2577241,transit
2509272,transit
2509264,transit
2577340,transit
2577351,transit
2577360,transit
46658,transit
46659,transit
2580958,transit
2577420,transit
46662,transit
2577390,transit
3158249,transit
2381927,transit
2509310,transit
2509296,transit
2577438,transit
2580643,transit
2509313,transit
3746327,transit
656698,transit
2381944,transit
2509326,transit
941806,transit
941816,transit
2575625,transit
2076913,transit
2509341,transit
941826,transit
2381941,transit
656703,transit
941796,transit
656714,transit
2577401,transit
2076938,transit
656704,transit
941836,transit
2509299,transit
2509336,transit
2402027,transit
941786,transit
941771,transit
941766,transit
46601,transit
2509370,transit
2509386,transit
2509401,transit
2575560,transit
2509412,transit
586692,transit
586697,transit
2578230,transit
2509434,transit
2578144,transit
2509420,transit
2576530,transit
2576531,transit
2509208,transit
2509182,transit
2509187,transit
653237,transit
2509261,transit
993831,transit
2509276,transit
2509256,transit
2510542,transit
2509269,transit
46660,transit
2509281,transit
2509288,transit
2509287,transit
2509293,transit
46663,transit
2509318,transit
2509323,transit
2509331,transit
2509347,transit
2509351,transit
2509332,transit
2509342,transit
2509352,transit
2509340,transit
2509353,transit
2076943,transit
2509339,transit
2509357,transit
2381966,transit
2509309,transit
2509338,transit
2402032,transit
2509337,transit
2509362,transit
2509333,transit
2509381,transit
2509375,transit
2509380,transit
2509391,transit
2509396,transit
2579046,transit
2509417,transit
2509439,transit
586707,transit
3039279,transit
2509425,transit
2509433,transit
0,load
15169101,load
15168801,load
4283801,load
32265401,load
35441601,load
15170101,load
15170302,load
15170301,load
15170201,load
15170401,load
101637300,load
100564253,load
15170501,load
15181201,load
15181301,load
15181401,load
15181601,load
15181101,load
15125601,load
15181801,load
15125801,load
15125701,load
15126001,load
15125901,load
15181501,load
15126101,load
15126401,load
15182001,load
15126801,load
15126501,load
33245201,load
15126601,load
36245101,load
100174365,load
36246401,load
39333401,load
100692230,load
100422679,load
35997701,load
100762152,load
100099038,load
15126901,load
4278301,load
100388008,load
101691085,load
100699921,load
15181901,load
36245801,load
15164901,load
4283001,load
15170901,load
30974501,load
15165001,load
15165101,load
15165401,load
100168107,load
15165301,load
4283401,load
15166001,load
15166101,load
15167001,load
33069801,load
15165701,load
