ID,PCR,Fase
SAG0125300394,15125801,(Mono)
SAG0156201071,101637300,RST
ZIV0034820268,15126501,S
ZIV0034844696,15126601,(Mono)
ZIV0034854493,15165301,R
ZIV0034859632,15182001,(Mono)
ZIV0034916813,15165001,(Mono)
ZIV0034929808,33069801,R
ZIV0034929810,100168107,S
ZIV0036291050,4283401,RST
ZIV0036292152,15126801,RST
ZIV0036292243,15170501,RST
ZIV0036384202,15165701,T
ZIV0040329314,15125701,T
ZIV0040329318,15125601,R
ZIV0040359565,15125701,S
ZIV0040430577,15166001,(Mono)
ZIV0040430578,15165401,S
ZIV0040430579,4283001,S
ZIV0040430580,30974501,T
ZIV0040430581,15165101,T
ZIV0040430622,15164901,T
ZIV0040637055,100564253,RST
ZIV0040637124,15125601,RST
ZIV0040637430,15170401,RST
ZIV0041883999,15166001,(Mono)
ZIV0044820067,15125601,T
ZIV0044820072,15125601,T
ZIV0045434615,32265401,RST
ZIV0045434620,15170302,RST
ZIV0045434625,15181101,RST
ZIV0045434626,15170401,RST
ZIV0045434630,100692230,RST
ZIV0045434634,36245801,RST
ZIV0045434639,15181601,RST
ZIV0045434662,15125601,RST
ZIV0045434663,15125701,RST
ZIV0045434665,15125601,RST
ZIV0045434666,15125701,RST
ZIV0045434675,35441601,RST
ZIV0045434742,35441601,RST
ZIV0045770899,35441601,S
ZIV0045770930,32265401,S
ZIV0045770931,32265401,S
ZIV0045770932,32265401,R
ZIV0045770933,32265401,R
ZIV0045770934,32265401,S
ZIV0045770935,32265401,T
ZIV0045770936,32265401,T
ZIV0045770937,32265401,S
ZIV0045770938,32265401,S
ZIV0045770939,32265401,S
ZIV0045774513,100099038,T
ZIV0045774514,100388008,R
ZIV0045774518,35997701,R
ZIV0045774519,100762152,R
ZIV0045774520,15125701,S
ZIV0045774521,15125701,S
ZIV0045774522,15125701,R
ZIV0045774524,15125701,S
ZIV0045774525,15125701,S
ZIV0045774526,15125701,T
ZIV0045774528,15125701,R
ZIV0045774529,15125701,T
ZIV0045774540,35441601,S
ZIV0045774545,35441601,S
ZIV0045774561,15170901,(Mono)
ZIV0045774562,100422679,T
ZIV0045774563,33245201,R
ZIV0045774567,36245101,R
ZIV0045774568,36246401,R
ZIV0045774569,15166101,S
ZIV0045774620,15125701,R
ZIV0045774625,15125701,T
ZIV0045774630,15125601,T
ZIV0045774631,15125601,R
ZIV0045774635,15125601,(Mono)
ZIV0045774636,15125601,S
ZIV0045774699,4278301,S
ZIV0045774707,15126601,T
ZIV0045774890,15125601,S
ZIV0045774891,15125601,R
ZIV0045774892,15125601,T
ZIV0045774893,15125601,R
ZIV0045774894,15125601,S
ZIV0045774895,15125601,S
ZIV0045774896,15125601,R
ZIV0045774897,15125601,T
ZIV0045774898,15125601,S
ZIV0045774899,15125701,R
ZIV0045774969,15167001,S
ZIV0045777040,15170301,S
ZIV0045777041,15170301,S
ZIV0045777042,15170301,S
ZIV0045777045,15170301,R
ZIV0045777046,15170301,S
ZIV0045777047,15170302,R
ZIV0045777048,15170301,(Mono)
ZIV0045777049,15170201,T
ZIV0045777101,15181301,S
ZIV0045777102,15181201,S
ZIV0045777103,15181201,T
ZIV0045777104,15181201,R
ZIV0045777105,15181301,T
ZIV0045777106,15181301,R
ZIV0045777107,15181301,S
ZIV0045777108,15181201,R
ZIV0045777109,15181201,T
ZIV0045777110,100699921,T
ZIV0045777111,101691085,S
ZIV0045777115,39333401,R
ZIV0045777116,100174365,S
ZIV0045777140,32265401,R
ZIV0045777141,32265401,S
ZIV0045777142,32265401,T
ZIV0045777143,32265401,T
ZIV0045777144,32265401,T
ZIV0045777145,32265401,R
ZIV0045777146,32265401,T
ZIV0045777147,32265401,R
ZIV0045777148,32265401,S
ZIV0045777149,32265401,S
ZIV0045777179,15170101,R
ZIV0045777262,15181601,S
ZIV0045777263,15181601,R
ZIV0045777264,15181601,R
ZIV0045777266,15181601,S
ZIV0045777267,15181601,T
ZIV0045777268,15181601,S
ZIV0045777269,15181601,T
ZIV0045777270,15181801,T
ZIV0045777271,15181801,T
ZIV0045777272,15181801,T
ZIV0045777273,15181801,R
ZIV0045777274,15181801,S
ZIV0045777275,15181801,R
ZIV0045777276,15181801,S
ZIV0045777277,15181801,S
ZIV0045777278,15181801,R
ZIV0045777279,15181901,S
ZIV0045777292,15169101,T
ZIV0045777297,15168801,R
ZIV0045777298,4283801,S
ZIV0045777360,15181401,T
ZIV0045777361,15181401,R
ZIV0045777363,15181401,T
ZIV0045777364,15181401,S
ZIV0045777365,15181401,T
ZIV0045777366,15181401,(Mono)
ZIV0045777368,15181401,T
ZIV0045777369,15181401,S
ZIV0045777430,35441601,T
ZIV0045777431,35441601,T
ZIV0045777432,35441601,R
ZIV0045777433,35441601,R
ZIV0045777434,35441601,T
ZIV0045777435,35441601,R
ZIV0045777436,35441601,R
ZIV0045777437,35441601,S
ZIV0045777438,35441601,S
ZIV0045777439,35441601,T
ZIV0045777444,15126901,R
ZIV0045777449,15126601,R
ZIV0045777481,15181101,T
ZIV0045777482,15181101,S
ZIV0045777483,15181101,S
ZIV0045777484,15181101,T
ZIV0045777486,15126001,T
ZIV0045777487,15181101,R
ZIV0045777488,15181101,R
ZIV0045777489,15181101,R
ZIV0046909239,15181301,R
ZIV0049974772,15165101,RST
ZIV0040430574,4283401,(Mono)
