node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.9066869298251,230.9112353470834,230.9191663102746,0.005852734360924137,230.9066869298251,230.9112353470833,230.91916631027462,0.005852734360895755
2,229.25850419314867,229.48024762719456,229.88541760605435,0.4444112164768452,229.25850419314963,229.4802476271936,229.88541760605335,0.44441121647943455
3,228.57538859446373,228.88696341218332,229.45686798929054,0.6262477378736555,228.57538859446498,228.88696341218198,229.45686798928926,0.6262477378772257
4,228.24377741235995,228.55531657976326,229.23668652775305,0.6612071190924842,228.24377741236123,228.55531657976184,229.2366865277517,0.6612071190963541
5,230.7646215615607,230.87701388924,230.72488702060627,0.036647891663677594,230.76462156165584,230.87701388827128,230.72488702427435,0.03664788210951807
6,224.79137957279116,228.72478345264764,223.43225149421488,1.9118828120784732,224.79137956951604,228.7247834212682,223.43225162393736,1.9118826420821224
7,222.71519419886005,227.90200500864597,220.64739356345274,2.3539325224313794,222.71519419189528,227.9020049663124,220.6473937413132,2.35393233684484
8,222.22434322047047,227.70220709790104,219.9886498293306,2.4638991217101984,222.22434321187325,227.70220705366438,219.9886500183143,2.463898938304303
9,222.73245904076484,227.91596048614602,220.67213952748384,2.3493505988444787,222.73245903450854,227.91596044315506,220.67213970532634,2.3493504102557616
10,223.4692087504545,228.51140822521256,221.72804069467028,2.190049888387922,223.46920877441437,228.51140815416588,221.72804087177641,2.190049565783888
11,214.58069669640432,224.85205798477838,212.32561821710001,2.7125698413300197,214.58069686367944,224.8520579327163,212.32561834145196,2.7125702812989148
12,202.8631220898491,220.4386218215377,200.1971193327615,4.48958951474772,202.86312249655677,220.43862177052102,200.19711936344288,4.489591480909061
13,201.30093899023615,219.85611186164041,198.89288478741804,4.640662264161496,201.3009394238424,219.85611181182205,198.8928848143885,4.640664361297796
14,200.82124732630504,219.42641687705395,198.5969106865779,4.520203132879092,200.8212477749669,219.4264168231766,198.59691070757026,4.520205066398546
15,198.09288679889647,219.74293501808077,197.3569284889886,5.074746410804327,198.09288727318457,219.7429349545905,197.35692859727695,5.074747925384633
