nodes,type
3862021,slack
1228302,transit
2246939,transit
44248,transit
2246978,transit
2573500,transit
2247074,transit
3226439,transit
1228334,transit
3226430,transit
1228341,transit
2294201,transit
1228351,transit
3549322,transit
1228353,transit
2573700,transit
2294210,transit
1404780,transit
2294220,transit
1228552,transit
1228564,transit
1228569,transit
3226471,transit
1228643,transit
1405272,transit
1228617,transit
1228587,transit
3158259,transit
2509444,transit
3158253,transit
2509449,transit
1228653,transit
3226477,transit
1228660,transit
2509084,transit
4203471,transit
2576346,transit
2509068,transit
2575916,transit
2575882,transit
2703453,transit
2576401,transit
2703458,transit
2703462,transit
1228525,transit
1228537,transit
1228612,transit
1228675,transit
1228685,transit
1228690,transit
1324243,transit
2580468,transit
2580496,transit
2537293,transit
1228415,transit
1228422,transit
1228393,transit
1228400,transit
1228386,transit
3226398,transit
3226408,transit
3226412,transit
2236295,transit
2247029,transit
2246916,transit
2247079,transit
2247084,transit
1228346,transit
3549327,transit
1228358,transit
2528475,transit
1228352,transit
1404789,transit
2328532,transit
1228648,transit
1405244,transit
1405420,transit
1405453,transit
1405311,transit
1405346,transit
1405365,transit
2578389,transit
46602,transit
2509454,transit
2509089,transit
2509097,transit
2509073,transit
2509078,transit
46595,transit
2509116,transit
2509121,transit
2509126,transit
1228732,transit
1228695,transit
1425010,transit
1228701,transit
2538890,transit
1324248,transit
46636,transit
1228427,transit
1228432,transit
1228405,transit
1228410,transit
2236235,transit
0,load
15173201,load
15173301,load
15173401,load
100092251,load
15173101,load
4284301,load
100108292,load
15173001,load
500000914,load
15168901,load
15168201,load
4283701,load
15168701,load
15198401,load
15168601,load
15169001,load
15168401,load
15169201,load
15169501,load
15169601,load
15169401,load
500014467,load
4282901,load
15164501,load
15164401,load
100269672,load
15164701,load
15164801,load
15169701,load
15169801,load
15170001,load
15169901,load
15198501,load
15198301,load
100524475,load
4287701,load
15198101,load
37559701,load
100695629,load
8877401,load
15123601,load
4288001,load
100414563,load
100414568,load
100414550,load
100414571,load
100690315,load
