nodefrom,nodeto,cable,length,kind,PCR
3862021,1228302,BT - Desconocido BT,1.0,Subterráneo,0
1228302,2246939,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.0,Subterráneo,0
2246939,44248,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.0,Subterráneo,0
2246939,2246978,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.0,Subterráneo,0
44248,2573500,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",7.0,Aéreo,15173201
2246978,2247029,BT - MANGUERA,3.0,Subterráneo,15173301
2246978,2247074,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,Subterráneo,0
2573500,2246916,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",12.0,Aéreo,0
2247074,2247079,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.0,Subterráneo,15173401
2247074,3226439,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.0,Subterráneo,0
3226439,2247084,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.34,Subterráneo,0
3862021,1228334,BT - Desconocido BT,1.0,Subterráneo,0
1228334,3226430,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.0,Subterráneo,0
3226430,1228341,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",23.0,Subterráneo,0
1228341,2294201,"BT - RV 0,6/1 KV 4*95 KAL",7.0,Subterráneo,0
1228341,1228351,"BT - RV 0,6/1 KV 4*95 KAL",3.0,Subterráneo,0
2294201,1228346,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,100092251
2294201,3549322,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",10.82,Subterráneo,0
1228351,1228353,BT - Desconocido BT,11.0,Aéreo,15173101
1228351,2573700,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",4.0,Aéreo,4284301
3549322,2294210,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",11.75,Subterráneo,0
3549322,3549327,"BT - RV 0,6/1 KV 2*25 KAL",2.11,Subterráneo,100108292
1228353,1228358,BT - MANGUERA,6.71,Aéreo,0
1228353,2528475,"BT - RZ 0,6/1 KV 4*16 AL",3.64,Aéreo,0
2573700,1404780,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",6.0,Aéreo,0
2294210,2294220,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,Subterráneo,0
1404780,1228352,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",11.0,Aéreo,0
1404780,1404789,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",2.0,Aéreo,15173001
2294220,2328532,"BT - RV 0,6/1 KV 2*25 KAL",12.0,Subterráneo,500000914
3862021,1228552,BT - Desconocido BT,1.0,Subterráneo,0
1228552,1228564,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",50.0,Subterráneo,0
1228564,1228569,"BT - RV 0,6/1 KV 4*95 KAL",6.0,Subterráneo,15168901
1228564,3226471,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.0,Subterráneo,0
1228564,1228643,"BT - RV 0,6/1 KV 4*25 KAL",12.0,Subterráneo,15168201
1228564,1228648,"BT - RV 0,6/1 KV 4*25 KAL",8.0,Subterráneo,4283701
1228569,1405272,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",6.0,Aéreo,15168701
1228569,1405244,BT - MANGUERA,5.63,Aéreo,0
3226471,1228617,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.0,Subterráneo,0
1228643,1405420,BT - MANGUERA,9.19,Aéreo,15198401
1228643,1405453,BT - MANGUERA,7.98,Aéreo,0
1405272,1228587,"BT - RZ 0,6/1 KV 4*16 AL",7.0,Aéreo,15168601
1405272,1405311,BT - MANGUERA,5.46,Aéreo,0
1228617,3158259,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",22.0,Aéreo,0
1228617,2509444,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",19.0,Aéreo,15169001
1228587,1405346,BT - MANGUERA,6.02,Aéreo,0
1228587,1405365,BT - MANGUERA,8.23,Aéreo,15168401
