nodes,type
3862280,slack
1275965,transit
1173961,transit
1006007,transit
1174134,transit
1006017,transit
1006201,transit
3226067,transit
1275966,transit
1005962,transit
1005982,transit
1005992,transit
1174129,transit
1006037,transit
3226060,transit
1005649,transit
1275904,transit
3226076,transit
1006365,transit
1006223,transit
2575430,transit
2577321,transit
2575536,transit
2576433,transit
45281,transit
2576441,transit
2576457,transit
2576481,transit
1005623,transit
3226093,transit
3226098,transit
3226103,transit
1005630,transit
3226108,transit
3226113,transit
3226118,transit
3226123,transit
2387415,transit
1005637,transit
3226131,transit
3226132,transit
3226141,transit
2387395,transit
45273,transit
1275862,transit
1006012,transit
1275863,transit
1006032,transit
1006216,transit
1005609,transit
1005977,transit
1005987,transit
1006022,transit
1174166,transit
1006051,transit
1005616,transit
1275913,transit
45280,transit
45283,transit
1175067,transit
2818264,transit
45272,transit
45274,transit
0,load
100221585,load
100592009,load
100221527,load
100221484,load
100558601,load
100221583,load
100221557,load
100221507,load
100221439,load
15148501,load
100596387,load
15148701,load
15157801,load
97005250,load
15157901,load
4282101,load
100595259,load
9078501,load
