nodefrom,nodeto,cable,length,kind,PCR
3862280,1275965,BT - Desconocido BT,1.0,Subterráneo,0
1275965,1173961,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",41.0,Subterráneo,0
1173961,1006007,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",27.0,Subterráneo,0
1173961,1275862,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.0,Subterráneo,0
1006007,1006012,"BT - RV 0,6/1 KV 4*95 KAL",7.0,Subterráneo,100221585
1006007,1174134,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",26.0,Subterráneo,0
1174134,1006017,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.0,Subterráneo,0
1174134,1275863,"BT - RV 0,6/1 KV 4*95 KAL",6.0,Subterráneo,100592009
1006017,1006032,"BT - RV 0,6/1 KV 4*95 KAL",6.0,Subterráneo,100221527
1006017,1006201,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,Subterráneo,0
1006201,1006216,"BT - RV 0,6/1 KV 4*95 KAL",7.0,Subterráneo,100221484
1006201,3226067,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,Subterráneo,0
3226067,1005609,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",37.0,Subterráneo,0
3862280,1275966,BT - Desconocido BT,1.0,Subterráneo,0
1275966,1005962,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",39.0,Subterráneo,0
1005962,1005977,"BT - RV 0,6/1 KV 4*25 KAL",2.0,Subterráneo,100558601
1005962,1005982,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.0,Subterráneo,0
1005982,1005987,"BT - RV 0,6/1 KV 4*95 KAL",6.0,Subterráneo,100221583
1005982,1005992,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",39.0,Subterráneo,0
1005992,1006022,"BT - RV 0,6/1 KV 4*95 KAL",6.0,Subterráneo,100221557
1005992,1174129,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.0,Subterráneo,0
1174129,1006037,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.0,Subterráneo,0
1174129,1174166,"BT - RV 0,6/1 KV 4*95 KAL",5.0,Subterráneo,0
1006037,1006051,"BT - RV 0,6/1 KV 4*95 KAL",7.0,Subterráneo,100221507
1006037,3226060,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",21.0,Subterráneo,0
3226060,1005616,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",35.0,Subterráneo,0
3862280,1005649,BT - Desconocido BT,1.0,Subterráneo,0
1005649,1275904,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",27.0,Subterráneo,0
1275904,1275913,BT - Desconocido BT,8.0,Subterráneo,100221439
1275904,3226076,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.0,Subterráneo,0
3226076,1006365,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",20.0,Subterráneo,0
1006365,1006223,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",8.0,Subterráneo,0
1006223,2575430,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",34.0,Aéreo,15148501
2575430,2577321,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",6.0,Aéreo,100596387
2577321,2575536,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.85,Aéreo,15148701
2575536,2576433,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",28.0,Aéreo,15157801
2576433,45281,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",11.82,Aéreo,0
45281,45280,BT - Desconocido BT,1.06,Aéreo,0
45281,2576441,BT - Desconocido BT,6.89,Aéreo,97005250
2576441,2576457,BT - Desconocido BT,4.0,Aéreo,15157901
2576457,2576481,BT - Desconocido BT,5.82,Aéreo,4282101
2576481,45283,BT - Desconocido BT,3.28,Aéreo,4282101
3862280,1005623,BT - Desconocido BT,1.0,Subterráneo,0
1005623,3226093,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",31.0,Subterráneo,0
3226093,3226098,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",21.0,Subterráneo,0
3226098,3226103,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",25.0,Subterráneo,0
3226103,1175067,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",4.0,Subterráneo,100595259
3862280,1005630,BT - Desconocido BT,1.0,Subterráneo,0
1005630,3226108,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",32.0,Subterráneo,0
3226108,3226113,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",19.0,Subterráneo,0
3226113,3226118,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",26.0,Subterráneo,0
3226118,3226123,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",68.0,Subterráneo,0
3226123,2387415,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.0,Subterráneo,0
2387415,2818264,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,Subterráneo,9078501
3862280,1005637,BT - Desconocido BT,1.0,Subterráneo,0
1005637,3226131,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",29.0,Subterráneo,0
3226131,3226132,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",20.0,Subterráneo,0
3226132,3226141,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",26.0,Subterráneo,0
3226141,2387395,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",47.0,Subterráneo,0
2387395,45273,BT - Desconocido BT,25.0,Subterráneo,0
45273,45272,BT - Desconocido BT,45.0,Subterráneo,0
45273,45274,BT - Desconocido BT,16.0,Subterráneo,0
