nodes,type
3863184,slack
1345111,transit
3226029,transit
3226035,transit
1345118,transit
1345123,transit
3226014,transit
3226023,transit
2189368,transit
1345147,transit
1351041,transit
1345154,transit
2563697,transit
1345159,transit
2189570,transit
3226002,transit
3226007,transit
1351789,transit
1345617,transit
1345622,transit
2189362,transit
1345130,transit
2189361,transit
2579732,transit
1345654,transit
1351053,transit
2563702,transit
2189579,transit
1351794,transit
0,load
97000947,load
100672753,load
500006061,load
500004298,load
500006998,load
100697083,load
