nodefrom,nodeto,cable,length,PCR
3863184,1345111,BT - Desconocido BT,1.0,0
1345111,3226029,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",27.0,0
3226029,3226035,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",121.0,0
3226035,1345118,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",34.0,0
1345118,1345617,"BT - RV 0,6/1 KV 4*95 KAL",5.0,97000947
1345118,1345622,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.0,0
1345118,2189362,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",34.87,0
3863184,1345123,BT - Desconocido BT,1.0,0
1345123,3226014,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",26.0,0
3226014,3226023,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",122.0,0
3226023,2189368,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",33.0,0
2189368,1345130,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.0,0
2189368,2189361,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",36.63,0
3863184,1345147,BT - Desconocido BT,1.0,0
1345147,1351041,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.0,0
1351041,1345154,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",23.0,0
1351041,2563697,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",11.28,0
1345154,2579732,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",35.02,100672753
1345154,1345654,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.0,0
2563697,1351053,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.31,500006061
2563697,2563702,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.46,500004298
3863184,1345159,BT - Desconocido BT,1.0,0
1345159,2189570,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",8.0,0
2189570,3226002,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.0,0
2189570,2189579,"BT - RV 0,6/1 KV 4*25 KAL",13.0,500006998
3226002,3226007,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",122.0,0
3226007,1351789,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",105.0,0
1351789,1351794,"BT - RV 0,6/1 KV 4*25 KAL",14.0,100697083
