nodes,type
3863647,slack
43261,transit
3225966,transit
2612375,transit
45270,transit
2528176,transit
45263,transit
2528185,transit
3225975,transit
2569269,transit
43278,transit
43280,transit
2581048,transit
2040121,transit
2581106,transit
2528209,transit
2581116,transit
2581078,transit
3743568,transit
2528256,transit
3380939,transit
2528253,transit
3380944,transit
43281,transit
2537296,transit
2581191,transit
43298,transit
2762360,transit
2762282,transit
2762361,transit
2538951,transit
43272,transit
45269,transit
45264,transit
45262,transit
2574577,transit
2040120,transit
2528219,transit
2528225,transit
2040119,transit
3380949,transit
43282,transit
2537301,transit
2528280,transit
2762301,transit
902210,transit
2538956,transit
0,load
15186801,load
15186501,load
15186701,load
15124601,load
15123901,load
15124001,load
4278001,load
15124201,load
15123701,load
4277901,load
500000018,load
15123501,load
4277801,load
100650695,load
15123201,load
15123101,load
8698501,load
15123002,load
500006548,load
100204349,load
37201201,load
