nodes,type
3865543,slack
1305986,transit
1345106,transit
2038583,transit
3294744,transit
3225539,transit
1305993,transit
2038633,transit
2038666,transit
3225547,transit
2038642,transit
3225545,transit
1306000,transit
1345659,transit
2039777,transit
1510871,transit
2039786,transit
1306007,transit
2039797,transit
1306014,transit
3225524,transit
1351920,transit
2039806,transit
2270806,transit
1475759,transit
1306033,transit
3510343,transit
3510326,transit
3510401,transit
2494924,transit
2494929,transit
2494934,transit
3158070,transit
2494939,transit
1306040,transit
3510356,transit
1345608,transit
2038597,transit
2038617,transit
1345099,transit
2038676,transit
2038652,transit
2038662,transit
1345087,transit
1510876,transit
2039791,transit
2039796,transit
2039811,transit
2039816,transit
1351934,transit
1475768,transit
3173632,transit
2494954,transit
2494944,transit
2494949,transit
3510353,transit
0,load
100820920,load
100821068,load
100820921,load
100821048,load
100820962,load
100653232,load
101622333,load
101622259,load
101622354,load
101622393,load
100697081,load
30269001,load
500006339,load
15118201,load
15118401,load
