nodes,type
3864107,slack
41504,transit
41506,transit
2581233,transit
2581268,transit
2519983,transit
2581283,transit
41501,transit
2581293,transit
2581304,transit
2581324,transit
1671109,transit
3225775,transit
2581349,transit
4016741,transit
1671079,transit
3761560,transit
41510,transit
2577648,transit
2577638,transit
2581427,transit
2581448,transit
2537304,transit
2519980,transit
41509,transit
1664244,transit
2519984,transit
2519985,transit
41511,transit
2537309,transit
0,load
4280801,load
30917101,load
4280601,load
4280701,load
32494901,load
8951101,load
15178902,load
15178901,load
15178801,load
4284901,load
4284801,load
15156501,load
15178601,load
15149401,load
15149201,load
15148901,load
9078702,load
15156701,load
