ID,PCR,Fase
ZIV0034866826,4284801,T
ZIV0034866921,15178902,(Mono)
ZIV0034866921,15178902,R
ZIV0034866922,15178902,S
ZIV0034866923,4284901,R
ZIV0034866924,4284901,S
ZIV0034866925,4284901,(Mono)
ZIV0034866925,4284901,T
ZIV0034866927,15178902,T
ZIV0034866928,15178902,T
ZIV0034867038,4284901,S
ZIV0034867069,15178601,(Mono)
ZIV0034867069,15178601,R
ZIV0034867070,4284901,(Mono)
ZIV0034867070,4284901,T
ZIV0034867071,15178601,R
ZIV0034867072,15178601,(Mono)
ZIV0034867072,15178601,R
ZIV0034867073,15178601,(Mono)
ZIV0034867073,15178601,R
ZIV0034867074,15178601,T
ZIV0034867075,15178601,(Mono)
ZIV0034867075,15178601,S
ZIV0034867076,4284901,R
ZIV0034867077,15178601,T
ZIV0034867078,15178601,(Mono)
ZIV0034867078,15178601,T
ZIV0034867097,30917101,S
ZIV0034867097,30917101,(Mono)
ZIV0034867199,4284801,S
ZIV0034867200,4284801,T
ZIV0034867201,4284801,(Mono)
ZIV0034867201,4284801,R
ZIV0034867202,4284801,(Mono)
ZIV0034867202,4284801,R
ZIV0034867203,15178601,(Mono)
ZIV0034867203,15178601,R
ZIV0034867204,4284801,S
ZIV0034867205,4284801,T
ZIV0034867206,4284801,(Mono)
ZIV0034867206,4284801,R
ZIV0034867207,4284901,S
ZIV0034867208,4284801,S
ZIV0034904453,15156501,(Mono)
ZIV0034904453,15156501,R
ZIV0034916618,30917101,R
ZIV0034916618,30917101,(Mono)
ZIV0034936798,30917101,(Mono)
ZIV0034936798,30917101,(Mono)
ZIV0034936799,30917101,T
ZIV0034936799,30917101,(Mono)
ZIV0034936800,30917101,R
ZIV0034936800,30917101,(Mono)
ZIV0036287866,4280601,RST
ZIV0036287866,4280601,(Mono)
ZIV0036288010,30917101,RST
ZIV0036288010,30917101,(Mono)
ZIV0036288011,30917101,RST
ZIV0036288011,30917101,(Mono)
ZIV0036288879,4284901,(Mono)
ZIV0036288879,4284901,RST
ZIV0036288963,4280601,RST
ZIV0036288964,4280801,RST
ZIV0036288964,4280801,(Mono)
ZIV0036291871,15148901,RST
ZIV0036291871,15148901,(Mono)
ZIV0036291923,9078702,RST
ZIV0036291923,9078702,(Mono)
ZIV0036291924,15156701,RST
ZIV0036291924,15156701,(Mono)
ZIV0036291928,9078702,RST
ZIV0036291928,9078702,(Mono)
ZIV0036291929,15156501,(Mono)
ZIV0036291929,15156501,RST
ZIV0036292156,4280701,RST
ZIV0036292158,4280701,RST
ZIV0036292234,32494901,RST
ZIV0036292234,32494901,(Mono)
ZIV0036292235,4280801,RST
ZIV0036292235,4280801,(Mono)
ZIV0036292240,15148901,RST
ZIV0036292240,15148901,(Mono)
ZIV0036294479,4284801,RST
ZIV0036294480,15178601,(Mono)
ZIV0036294480,15178601,RST
ZIV0036294985,15149201,RST
ZIV0036294985,15149201,(Mono)
ZIV0036295105,15178902,RST
ZIV0036295106,15178801,(Mono)
ZIV0036295106,15178801,RST
ZIV0036295108,4284901,RST
ZIV0036295111,8951101,RST
ZIV0036298623,15149401,RST
ZIV0036298623,15149401,(Mono)
ZIV0036299714,4284801,(Mono)
ZIV0036299714,4284801,RST
ZIV0036384076,4284901,(Mono)
ZIV0036384076,4284901,R
ZIV0036384283,9078702,T
ZIV0036384283,9078702,(Mono)
ZIV0036384413,30917101,T
ZIV0036384413,30917101,(Mono)
ZIV0036384450,8951101,R
ZIV0040327470,32494901,R
ZIV0040327475,4280601,R
ZIV0040327475,4280601,(Mono)
ZIV0040327476,32494901,T
ZIV0040327477,32494901,S
ZIV0040327478,4280801,T
ZIV0040327479,15148901,T
ZIV0040327479,15148901,(Mono)
ZIV0040334149,15149201,R
ZIV0040334149,15149201,(Mono)
ZIV0040335451,15149201,T
ZIV0040335451,15149201,(Mono)
ZIV0040359363,32494901,S
ZIV0040359561,4280801,S
ZIV0040359562,4280701,R
ZIV0040359567,4280701,T
ZIV0040383369,30917101,T
ZIV0040383369,30917101,(Mono)
ZIV0040383370,30917101,(Mono)
ZIV0040383370,30917101,(Mono)
ZIV0040430425,15149201,(Mono)
ZIV0040430425,15149201,(Mono)
ZIV0040430503,8951101,T
ZIV0040430706,15148901,S
ZIV0040430706,15148901,(Mono)
ZIV0040637033,4280801,RST
ZIV0040637033,4280801,(Mono)
ZIV0040637077,4284901,RST
ZIV0040637101,4280601,RST
ZIV0040637101,4280601,(Mono)
ZIV0040637200,8951101,RST
ZIV0040637225,15156501,RST
ZIV0044828921,30917101,T
ZIV0044828921,30917101,(Mono)
ZIV0044828922,32494901,T
ZIV0044831516,4280801,R
ZIV0044831516,4280801,(Mono)
ZIV0044831521,4280801,R
ZIV0044831521,4280801,(Mono)
ZIV0044842382,15149201,T
ZIV0046916792,4284801,T
ZIV0046916805,15149201,T
ZIV0046916806,15149201,S
ZIV0046916807,15149201,S
ZIV0046916808,15149201,R
ZIV0046916809,15149201,R
ZIV0046916811,15149201,T
ZIV0046916812,15149201,R
ZIV0046916925,15149201,S
ZIV0046916928,15149201,S
ZIV0046916929,15149201,S
ZIV0046917126,8951101,S
ZIV0046917132,15178902,R
ZIV0046917213,4280601,T
ZIV0046917220,4280701,T
ZIV0046921783,4280601,T
ZIV0046921784,4280601,T
ZIV0046921785,4280601,T
ZIV0046921786,4280601,T
ZIV0046921787,4280601,S
ZIV0046921788,4280601,S
ZIV0046921789,4280601,R
ZIV0046921790,4280601,S
ZIV0046921791,4280601,S
ZIV0046921792,4280601,S
ZIV0046921805,30917101,S
ZIV0046921806,30917101,T
ZIV0046921807,30917101,S
ZIV0046921809,30917101,S
ZIV0046921810,30917101,R
ZIV0046921811,30917101,S
ZIV0046921812,30917101,T
ZIV0046921860,15149401,S
ZIV0046921913,4280701,R
ZIV0046921914,4280601,R
ZIV0046921915,4280601,S
ZIV0046921916,4280601,R
ZIV0046921917,4280601,S
ZIV0046921918,4280601,R
ZIV0046921919,4280601,R
ZIV0046921920,4280601,R
ZIV0046921921,4280601,T
ZIV0046921922,4280701,R
ZIV0046921923,4280801,T
ZIV0046922043,32494901,T
ZIV0046922044,4280701,S
ZIV0046922045,4280701,T
ZIV0046922046,4280701,R
ZIV0046922047,4280701,T
ZIV0046922048,32494901,S
ZIV0046922049,32494901,R
ZIV0046922050,4280701,T
ZIV0046922051,4280701,R
ZIV0046922052,4280701,T
ZIV0046922235,4280801,S
ZIV0046922236,4280801,S
ZIV0046922242,4280801,T
ZIV0046923354,4280801,T
ZIV0046923454,15148901,R
ZIV0046923455,15148901,T
ZIV0046923456,15148901,T
ZIV0046923457,15148901,R
ZIV0046923458,15148901,S
ZIV0046923459,15148901,R
ZIV0046923461,4280701,T
ZIV0046923584,4280701,R
ZIV0046924567,4280801,R
ZIV0049973194,15178601,RST
ZIV0049973966,15149401,RST
