nodes,type
3860430,slack
44451,transit
3226150,transit
3226155,transit
1272682,transit
1272705,transit
1272694,transit
1272689,transit
1272688,transit
1272743,transit
44455,transit
1272768,transit
3226196,transit
3226202,transit
44458,transit
3226211,transit
1272782,transit
1272792,transit
1272802,transit
1272812,transit
3294778,transit
46141,transit
3226174,transit
1272920,transit
44462,transit
3225637,transit
3225633,transit
4194059,transit
1273010,transit
3225624,transit
44463,transit
1273053,transit
3294804,transit
44464,transit
3226179,transit
1273029,transit
3294774,transit
44468,transit
3226168,transit
2537250,transit
1273157,transit
3294764,transit
1273206,transit
2580974,transit
1273211,transit
1273363,transit
1273375,transit
1273390,transit
44470,transit
3226217,transit
1273444,transit
1273449,transit
3294789,transit
1272723,transit
1272718,transit
1272728,transit
1272733,transit
1272738,transit
1272748,transit
1272777,transit
1272767,transit
1272787,transit
1272797,transit
1272807,transit
1272817,transit
1272822,transit
1272919,transit
1272929,transit
4194067,transit
1273015,transit
1273020,transit
1272236,transit
1273047,transit
1273062,transit
1273034,transit
1273039,transit
1273186,transit
1273191,transit
1273196,transit
1273369,transit
1273385,transit
43262,transit
1273463,transit
1273458,transit
1272827,transit
0,load
34318601,load
34318401,load
34318301,load
34318201,load
34317701,load
15186401,load
31135501,load
37542901,load
100134593,load
32480801,load
37950901,load
37949601,load
37949801,load
31133001,load
31132901,load
97610325,load
33124701,load
31132801,load
31132701,load
37461071,load
37461171,load
37461271,load
9079001,load
37071401,load
100144812,load
38966801,load
38966701,load
