ID,PCR,Fase
SAG0125356582,37949601,T
SAG0125356585,37949601,S
SAG0125356586,37949601,R
SAG0125356587,37949601,R
SAG0125356589,37949601,T
SAG0125356590,37949601,S
SAG0125356591,38966801,T
SAG0125356593,38966801,R
SAG0125356596,38966801,S
SAG0125356597,37949801,S
SAG0125356599,100144812,(Mono)
SAG0125356752,15186401,R
SAG0125356752,15186401,(Mono)
SAG0125356756,15186401,R
SAG0125356756,15186401,(Mono)
SAG0125356757,15186401,T
SAG0125356757,15186401,(Mono)
SAG0125356765,31132701,S
SAG0125356766,31132701,(Mono)
SAG0125356769,31132701,R
SAG0125356770,31132701,R
SAG0125360273,33124701,S
SAG0125360273,33124701,(Mono)
SAG0145400914,37461171,R
SAG0145408107,100144812,S
SAG0145426767,37461271,R
SAG0145436133,38966701,R
SAG0145443206,33124701,T
SAG0145443206,33124701,(Mono)
SAG0155185683,31133001,R
SAG0155286766,37949601,S
SAG0155286768,37949601,R
SOG0020025505,37950901,T
SOG0020076977,38966801,R
SOG0020076978,31135501,T
SOG0020084339,34317701,R
SOG0020084339,34317701,(Mono)
ZIV0034671152,33124701,S
ZIV0034671152,33124701,(Mono)
ZIV0034671723,37461171,R
ZIV0034795778,31135501,R
ZIV0034795779,31135501,S
ZIV0034795781,31135501,R
ZIV0034795782,31135501,T
ZIV0034795786,37542901,T
ZIV0034795787,37542901,T
ZIV0034795858,31135501,T
ZIV0034795859,31135501,S
ZIV0034795860,31135501,R
ZIV0034795862,31135501,R
ZIV0034795863,31135501,S
ZIV0034795864,31135501,S
ZIV0034795865,31135501,T
ZIV0034795866,31135501,T
ZIV0034795867,31135501,T
ZIV0034795874,31132901,(Mono)
ZIV0034795875,31132801,R
ZIV0034795876,31132801,R
ZIV0034795877,31133001,T
ZIV0034795988,31135501,T
ZIV0034795989,31135501,R
ZIV0034795990,31135501,R
ZIV0034795991,31135501,R
ZIV0034795993,31135501,(Mono)
ZIV0034795994,31135501,S
ZIV0034795995,31135501,T
ZIV0034795996,31135501,S
ZIV0034795997,31135501,R
ZIV0034796028,37542901,R
ZIV0034796029,37542901,S
ZIV0034796031,37542901,R
ZIV0034796032,37542901,T
ZIV0034796033,37542901,R
ZIV0034796034,37542901,S
ZIV0034796035,37542901,T
ZIV0034796036,37542901,S
ZIV0034796037,37542901,R
ZIV0034796068,37542901,R
ZIV0034796069,37542901,T
ZIV0034796075,37542901,S
ZIV0034820218,38966801,R
ZIV0034820223,38966801,S
ZIV0034820224,38966801,(Mono)
ZIV0034820226,38966801,T
ZIV0034820269,37949601,S
ZIV0034820270,37949601,T
ZIV0034820271,37949601,S
ZIV0034820272,37949601,S
ZIV0034820276,37949601,R
ZIV0034820468,38966801,S
ZIV0034820469,38966801,T
ZIV0034820471,38966801,R
ZIV0034820474,38966801,(Mono)
ZIV0034820475,38966801,S
ZIV0034820477,38966801,R
ZIV0034820519,100144812,R
ZIV0034820520,100144812,T
ZIV0034820521,100144812,S
ZIV0034820525,100144812,T
ZIV0034820527,100144812,R
ZIV0034820658,37949601,T
ZIV0034820699,37949601,T
ZIV0034820718,31132701,S
ZIV0034820722,31132701,T
ZIV0034820723,31132701,S
ZIV0034820724,31132701,T
ZIV0034820725,31132701,R
ZIV0034820726,31132701,R
ZIV0034820727,31132701,T
ZIV0034820754,31132701,S
ZIV0034820755,31132701,T
ZIV0034820879,38966801,R
ZIV0034820881,38966801,R
ZIV0034820883,38966801,R
ZIV0034820885,38966801,R
ZIV0034820886,38966801,R
ZIV0034820887,38966801,R
ZIV0034821102,38966801,S
ZIV0034821107,38966801,T
ZIV0034831816,37949601,T
ZIV0034842528,33124701,S
ZIV0034842528,33124701,(Mono)
ZIV0034859220,31132701,R
ZIV0034859221,31132701,T
ZIV0034859222,31132701,T
ZIV0034859379,38966801,(Mono)
ZIV0034859380,38966801,(Mono)
ZIV0034859381,38966801,(Mono)
ZIV0034859382,38966801,(Mono)
ZIV0034859383,38966801,(Mono)
ZIV0034859384,38966801,(Mono)
ZIV0034859385,38966801,(Mono)
ZIV0034859387,38966801,(Mono)
ZIV0034859388,38966801,(Mono)
ZIV0034859469,38966801,(Mono)
ZIV0034862983,38966701,R
ZIV0034863179,34318201,T
ZIV0034863179,34318201,(Mono)
ZIV0034863180,34318201,R
ZIV0034863180,34318201,(Mono)
ZIV0034863181,34318201,S
ZIV0034863181,34318201,(Mono)
ZIV0034863182,34318201,R
ZIV0034863182,34318201,(Mono)
ZIV0034863183,34318201,S
ZIV0034863183,34318201,(Mono)
ZIV0034863184,34318201,S
ZIV0034863184,34318201,(Mono)
ZIV0034863185,34318201,T
ZIV0034863185,34318201,(Mono)
ZIV0034863186,34318201,R
ZIV0034863186,34318201,(Mono)
ZIV0034863187,34318201,T
ZIV0034863187,34318201,(Mono)
ZIV0034863188,34318201,S
ZIV0034863188,34318201,(Mono)
ZIV0034863241,34318401,T
ZIV0034863241,34318401,(Mono)
ZIV0034863243,34318301,T
ZIV0034863243,34318301,(Mono)
ZIV0034863244,34318301,T
ZIV0034863244,34318301,(Mono)
ZIV0034863245,34318301,T
ZIV0034863245,34318301,(Mono)
ZIV0034863246,34318301,S
ZIV0034863248,34318301,T
ZIV0034863248,34318301,(Mono)
ZIV0034863249,34318301,S
ZIV0034863250,34318301,(Mono)
ZIV0034863250,34318301,(Mono)
ZIV0034863251,34318301,R
ZIV0034863252,34318301,S
ZIV0034863253,34318301,S
ZIV0034863254,34318301,R
ZIV0034863254,34318301,(Mono)
ZIV0034863255,34318301,R
ZIV0034863255,34318301,(Mono)
ZIV0034863256,34318301,R
ZIV0034863257,34318301,S
ZIV0034863258,34318301,S
ZIV0034866688,31132801,S
ZIV0034866829,34318601,R
ZIV0034866830,34318601,T
ZIV0034866832,34318601,R
ZIV0034866833,34318601,R
ZIV0034866834,34318601,T
ZIV0034866835,34318601,R
ZIV0034866836,34318601,T
ZIV0034866837,34318601,S
ZIV0034866838,34318601,S
ZIV0034867039,34318401,S
ZIV0034867040,34318401,R
ZIV0034867041,34318401,R
ZIV0034867043,34318401,R
ZIV0034867044,34318401,S
ZIV0034867045,34318401,T
ZIV0034867045,34318401,(Mono)
ZIV0034867046,34318601,T
ZIV0034867047,34318401,T
ZIV0034867047,34318401,(Mono)
ZIV0034867048,34318401,S
ZIV0034867081,34318601,T
ZIV0034867082,34318601,R
ZIV0034867085,34318601,(Mono)
ZIV0034867087,34318601,S
ZIV0034867088,34318601,S
ZIV0034902956,37949601,R
ZIV0034902958,37949601,R
ZIV0034904125,34317701,R
ZIV0034904125,34317701,(Mono)
ZIV0034904126,34317701,R
ZIV0034904126,34317701,(Mono)
ZIV0034904127,34317701,S
ZIV0034904127,34317701,(Mono)
