ID,PCR,Fase
SAG0125358121,100786723,T
SAG0125358123,100786723,T
SAG0125358124,100786723,S
SAG0125358126,100786723,S
SAG0125358127,100786723,T
SAG0125358472,15195801,R
SAG0125358473,15196801,S
SAG0125358474,15196601,T
SAG0125358475,15196401,T
SAG0125358476,15197101,R
SAG0125358478,15196501,R
SAG0125358479,15196901,R
SAG0125358480,15196701,S
SAG0125358571,15195901,T
SAG0125358572,15196301,T
SAG0125358575,15196201,(Mono)
SAG0125358576,15196101,T
SAG0125358578,15196001,R
SAG0125358611,100786723,R
SAG0125358612,100786723,T
SAG0125358613,100786723,R
SAG0125358614,100786723,R
SAG0125358616,100786723,S
SAG0125358617,100786723,R
SAG0125358618,100786723,T
SAG0125358619,100786723,R
SAG0125358620,100786723,S
SAG0125360059,15162401,S
SAG0145421106,100834152,T
SAG0145451231,500006063,R
SAG0166200025,15151001,RST
SOG0020100141,100834152,R
ZIV0036384070,100786723,R
ZIV0040384363,15150201,S
ZIV0040637131,100786471,RST
ZIV0040637152,100786471,RST
ZIV0040637153,100786471,RST
ZIV0040637156,100786723,RST
ZIV0040637158,500006063,RST
ZIV0040637159,500006063,RST
ZIV0042301354,100834152,RST
ZIV0044831519,100834152,S
ZIV0045437451,15183401,RST
ZIV0045437933,15150601,RST
ZIV0045437934,15150401,RST
ZIV0045438119,15150601,RST
ZIV0045439515,15150201,RST
ZIV0045777254,100834152,R
ZIV0046882978,15158801,T
ZIV0046885253,15150101,S
ZIV0046885254,15151201,S
ZIV0046885255,15151101,R
ZIV0046885256,15150301,S
ZIV0046885257,15151401,(Mono)
ZIV0046885258,15151501,R
ZIV0046885259,15150501,R
ZIV0046885260,15150901,T
ZIV0046885261,15150701,T
ZIV0046885262,15151301,S
ZIV0046885273,15150801,S
ZIV0046885275,15121501,T
ZIV0046885276,15121301,R
ZIV0046885277,15121001,T
ZIV0046885281,4277301,S
ZIV0046885282,15121101,T
ZIV0046885405,100786471,S
ZIV0046885406,100786471,S
ZIV0046885407,100786471,S
ZIV0046885410,100786471,S
ZIV0046885411,100786471,R
ZIV0046885412,100786471,S
ZIV0046885573,15159301,S
ZIV0046885574,15159201,R
ZIV0046885575,15159401,T
ZIV0046885576,15162201,S
ZIV0046885577,15159101,T
ZIV0046885578,15158701,T
ZIV0046885579,15162601,R
ZIV0046885580,15162501,T
ZIV0046885581,15162301,R
ZIV0046885582,15162001,S
ZIV0046885723,100786471,T
ZIV0046885724,15183401,S
ZIV0046885725,15150601,S
ZIV0046885726,15183401,R
ZIV0046885727,15183401,R
ZIV0046885728,15183401,T
ZIV0046885729,15183401,S
ZIV0046885730,15183401,T
ZIV0046885731,15183401,R
ZIV0046885732,15183401,T
ZIV0046885834,100834152,T
ZIV0046885835,100834152,T
ZIV0046885836,100834152,R
ZIV0046885837,100834152,S
ZIV0046885838,100786723,T
ZIV0046885839,100786723,T
ZIV0046885840,100834152,T
ZIV0046885841,100834152,T
ZIV0046885842,100834152,T
ZIV0046886153,100786471,T
ZIV0046886154,100786471,R
ZIV0046886155,100786471,R
ZIV0046886156,100786471,T
ZIV0046886157,100786471,R
ZIV0046886158,100786471,R
ZIV0046886159,100786471,T
ZIV0046886160,100786471,T
ZIV0046886161,100786471,T
ZIV0046886162,100786471,T
ZIV0046886393,15158101,T
ZIV0046886394,15158401,T
ZIV0046886395,15159001,R
ZIV0046886396,15158601,T
ZIV0046886397,15158501,S
ZIV0046886398,500006063,R
ZIV0046886399,15158201,T
ZIV0046886400,500006063,T
ZIV0046886401,15158301,R
ZIV0046886402,15158901,S
ZIV0046887973,15150601,R
ZIV0046887974,15150601,S
ZIV0046887975,15150601,S
ZIV0046887976,15150601,R
ZIV0046887977,15150601,S
ZIV0046887978,15150601,S
ZIV0046887979,15150601,R
ZIV0046887980,15150601,S
ZIV0046887981,15150601,T
ZIV0046887982,15150601,T
ZIV0046887993,15150401,S
ZIV0046887994,15150201,R
ZIV0046887995,15150201,S
ZIV0046887996,15150201,T
ZIV0046887997,15150201,R
ZIV0046887998,15150401,T
ZIV0046887999,15150201,S
ZIV0046888001,15150201,R
ZIV0046888002,15150201,T
ZIV0046888043,15150601,S
ZIV0046888044,15150601,T
ZIV0046888045,15150601,R
ZIV0046888046,15150601,S
ZIV0046888047,15150601,T
ZIV0046888048,15150601,T
ZIV0046888051,15150601,T
ZIV0046888052,15150601,R
ZIV0046888153,100834152,S
ZIV0046888154,100834152,R
ZIV0046888155,100834152,R
ZIV0046888156,100834152,T
ZIV0046888157,100834152,R
ZIV0046888158,100834152,R
ZIV0046888159,100834152,S
ZIV0046888160,100834152,T
ZIV0046888161,100834152,R
ZIV0046888162,100834152,S
ZIV0046888163,15150401,R
ZIV0046888164,15150401,R
ZIV0046888165,15150401,S
ZIV0046888166,15150401,T
ZIV0046888167,15150401,T
ZIV0046888168,15150401,R
ZIV0046888169,15150401,S
ZIV0046888170,15150401,T
ZIV0046888171,15150401,S
ZIV0046888172,15150401,R
ZIV0046923570,500006063,R
ZIV0046923653,100834152,S
ZIV0046923658,100834152,S
ZIV0046923660,500006063,T
ZIV0046923936,15183401,R
ZIV0046924393,15162701,T
ZIV0046924394,15162101,R
ZIV0046924524,100786723,S
ZIV0046924626,35727701,S
ZIV0046925440,100834152,T
ZIV0046928633,15150601,S
ZIV0046975906,500006063,S
ZIV0047741207,15183401,RST
