nodefrom,nodeto,cable,length,kind,PCR
3859094,2451776,BT - Desconocido BT,1.0,Subterráneo,0
2451776,2577859,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",35.0,Aéreo,15149701
2577859,2573886,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",3.94,Aéreo,100564226
2573886,2577849,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",15.0,Aéreo,15149501
2577849,44329,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",60.0,Aéreo,0
44329,2537317,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",1.0,Subterráneo,0
2537317,2537322,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,31233901
2537317,2537325,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",23.0,Subterráneo,0
2537325,2537330,"BT - RV 0,6/1 KV 4*95 KAL",1.0,Subterráneo,31234001
2537325,3225481,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",37.0,Subterráneo,0
3225481,1237569,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",43.0,Subterráneo,0
3859094,2451770,BT - Desconocido BT,1.0,Subterráneo,0
2451770,2576473,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",81.57,Aéreo,15197201
2576473,44338,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",37.0,Aéreo,0
44338,2576489,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",3.0,Aéreo,15120401
44338,2528668,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",42.0,Aéreo,0
2576489,2528646,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",19.0,Aéreo,0
2528668,44346,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",41.0,Aéreo,0
2528668,44353,"BT - RZ 0,6/1 KV 2*16 AL",19.0,Aéreo,15120301
2528668,44354,"BT - RZ 0,6/1 KV 2*16 AL",17.0,Aéreo,15120501
2528668,2451567,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",22.0,Aéreo,0
2528646,2528667,"BT - RZ 0,6/1 KV 2*16 AL",29.0,Aéreo,15120701
2528646,2528661,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",3.0,Aéreo,15120601
44346,2528677,"BT - RZ 0,6/1 KV 4*16 AL",18.0,Aéreo,0
44346,2576556,"BT - RZ 0,6/1 KV 2*16 AL",1.0,Aéreo,15120101
44346,2576561,"BT - RZ 0,6/1 KV 3*25 AL/54,6 ALM",1.0,Aéreo,15119901
2451567,44357,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",22.0,Aéreo,15174901
2528677,2528685,"BT - RZ 0,6/1 KV 4*16 AL",15.0,Aéreo,15120001
2528677,2528688,"BT - RZ 0,6/1 KV 2*16 AL",1.0,Aéreo,500006402
44357,44356,"BT - RZ 0,6/1 KV 2*16 AL",17.0,Aéreo,15138801
44357,44362,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",34.0,Aéreo,0
44357,44368,"BT - RZ 0,6/1 KV 2*16 AL",25.0,Aéreo,15138901
44357,44399,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",55.0,Aéreo,0
44357,2528723,"BT - RZ 0,6/1 KV 2*16 AL",29.0,Aéreo,15139001
2528688,2537314,"BT - RZ 0,6/1 KV 2*16 AL",18.0,Aéreo,15120201
44362,44363,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",31.0,Aéreo,0
44362,44367,"BT - RZ 0,6/1 KV 2*16 AL",20.0,Aéreo,15138701
44362,44371,"BT - RZ 0,6/1 KV 2*16 AL",16.0,Aéreo,0
44362,2528742,"BT - RZ 0,6/1 KV 2*16 AL",12.0,Aéreo,15138601
44362,2528747,"BT - RZ 0,6/1 KV 2*16 AL",10.0,Aéreo,15138401
44399,44398,"BT - RZ 0,6/1 KV 2*16 AL",15.0,Aéreo,15194001
44399,3158145,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",27.0,Aéreo,0
44399,44416,"BT - RZ 0,6/1 KV 2*16 AL",23.0,Aéreo,15194101
44399,2528806,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",44.0,Aéreo,0
44363,2528770,"BT - RZ 0,6/1 KV 2*16 AL",2.0,Aéreo,0
44363,44370,"BT - RZ 0,6/1 KV 2*16 AL",21.0,Aéreo,15138301
44363,44388,"BT - RZ 0,6/1 KV 4*16 AL",17.0,Aéreo,0
44371,44386,"BT - RZ 0,6/1 KV 2*16 AL",4.0,Aéreo,15138501
3158145,2452319,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",18.0,Aéreo,0
2528806,2528878,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",28.0,Aéreo,0
