node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.82814318647362,230.87026473888062,230.8918386677558,0.0551184826592071,230.82814318647365,230.87026473888034,230.891838667756,0.05511848265929184
2,219.8290131421495,224.2425099022645,227.3840820421678,5.239380289620373,219.8290131421487,224.24250990225173,227.3840820421658,5.239380289644354
3,219.74474723174833,224.1950830110548,227.35346187080054,5.259617034405588,219.74474723174754,224.19508301104185,227.3534618707986,5.25961703442966
4,218.19671188488704,223.97660602981304,226.7627120973634,5.922422182389696,218.1967118848848,223.97660602979784,226.76271209736512,5.922422182413104
5,218.1967118848871,223.97660602981304,226.76271209736345,5.922422182389687,218.19671188488493,223.97660602979772,226.7627120973651,5.922422182413261
6,230.89525211358273,230.85324748389877,230.9289684512349,0.03782496364444654,230.89525211358273,230.85324748389866,230.92896845123497,0.037824963644399155
7,226.4181703260063,219.3324715853235,228.07954661625658,4.400700994874178,226.41817032600966,219.332471585321,228.0795466162578,4.4007009948750015
8,225.4658947266868,216.56100943513954,227.15587920467695,5.164022311467364,225.4658947266913,216.56100943513525,227.1558792046794,5.164022311467161
9,226.21328504414114,219.08970390856715,228.06523513952558,4.551557166406843,226.21328504414484,219.08970390856484,228.0652351395268,4.551557166407844
10,225.32691390354145,213.35189833121902,227.23308012481036,8.109681701080794,225.32691390354478,213.3518983312133,227.23308012481127,8.109681701079742
11,225.13644184654734,216.18825746085184,226.60282102427863,4.9071590091952535,225.13644184655266,216.18825746084727,226.60282102428198,4.907159009194873
12,225.19724232480556,211.39146633095424,227.2609284395032,9.43767054454961,225.197242324808,211.39146633094813,227.26092843950514,9.437670544548611
13,224.46412487586002,215.3737331099925,226.06854498794942,4.666758255897008,224.46412487586588,215.3737331099877,226.06854498795403,4.6667582558966885
14,224.61412104322298,215.63721043751008,224.65736749704837,5.303730004763485,224.61412104323134,215.63721043750434,224.6573674970548,5.303730004763075
15,224.3879103110167,214.9951966743439,226.10467780408504,4.8390998923074235,224.38791031102244,214.99519667433924,226.1046778040898,4.8390998923072726
16,223.89479766282037,215.37222635390063,226.0721097293595,4.323285625020423,223.89479766282614,215.3722263538959,226.072109729364,4.323285625020056
17,224.4971766763392,215.62426217211615,224.33564071953197,5.438204933512333,224.49717667634852,215.62426217211,224.33564071953924,5.438204933512279
18,224.69860054323917,215.57063733081122,223.51110103773073,5.790172110131692,224.6986005432476,215.5706373308055,223.5111010377373,5.790172110130732
19,224.37801423288354,214.97945393005747,226.10569689984604,4.842932667481631,224.37801423288926,214.9794539300528,226.1056968998508,4.842932667481461
20,224.33374277426634,214.99070489127706,226.10056122720206,4.68211530288668,224.33374277427183,214.99070489127232,226.10056122720673,4.68211530288656
21,224.41921381622254,215.61563000164884,224.12132572761124,5.534133295592574,224.41921381623246,215.61563000164247,224.12132572761917,5.534133295592803
22,224.70663714014648,215.54379493025243,222.77678439330333,6.2674153544793745,224.706637140155,215.54379493024678,222.77678439330984,6.267415354478324
23,224.3771463289711,214.91755194824313,226.10774902129867,4.878606729410631,224.37714632897675,214.91755194823835,226.10774902130376,4.878606729410414
