node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.93187441089782,230.94020942381135,230.9392112077002,0.00795570610137674,230.93187441089785,230.9402094238113,230.93921120770017,0.007955706101493987
2,230.88250731469162,230.94018520380774,230.934436776279,0.08056528767632573,230.88250731469154,230.94018520380794,230.93443677627866,0.08056528767636492
3,229.60917029018262,230.9381871160771,230.8125886864075,1.9580232652248122,229.6091702901833,230.93818711608412,230.81258868640103,1.958023265217206
4,229.30539628965226,230.93771817954698,230.78348562099777,2.4064513089240567,229.30539628965258,230.93771817955536,230.78348562099083,2.4064513089141255
5,228.9935580536796,230.9372399018612,230.7535960470919,2.866999032616635,228.99355805367935,230.93723990187115,230.75359604708416,2.8669990326043395
6,228.9935580536846,230.9372399018541,230.7535960470949,2.86699903262084,228.99355805368398,230.93723990187056,230.75359604708257,2.8669990326025387
7,228.92899847221858,230.93548517325118,230.7482749334349,2.927156909306847,228.92899847221827,230.93548517326104,230.7482749334272,2.9271569092944976
8,228.9935580536855,230.93723990185316,230.7535960470951,2.8669990326216155,228.99355805368472,230.93723990187047,230.75359604708234,2.866999032602421
9,228.9935580536865,230.93723990185214,230.75359604709536,2.8669990326225387,228.9935580536856,230.93723990187038,230.75359604708206,2.8669990326023953
10,228.99355805368774,230.93723990185092,230.75359604709567,2.8669990326236645,228.99355805368674,230.9372399018702,230.7535960470817,2.866999032602665
11,230.9252960920042,230.91740252621062,230.91451337679857,0.008659077383416388,230.92529609200426,230.9174025262105,230.9145133767986,0.00865907738327832
12,229.97107515011007,229.4563283783247,229.252545163373,0.857573440088602,229.97107515011075,229.45632837832505,229.252545163371,0.8575734400882096
13,229.60815779337884,229.1282881570549,228.62293168466232,1.032622457420811,229.60815779337975,229.1282881570552,228.62293168466,1.0326224574198075
14,229.6081577933789,229.12828815705487,228.6229316846623,1.0326224574207383,229.60815779337995,229.12828815705504,228.62293168466002,1.0326224574195486
15,229.40686445049474,228.93903847280765,228.26041626519924,1.1221901378970272,229.40686445049568,228.93903847280794,228.26041626519682,1.1221901378958405
16,230.93393307789253,230.9295260933597,230.8614671489617,0.0378247951904788,230.93393379256023,230.92951975122088,230.86147083593485,0.03783612882873807
17,230.86196564707794,230.8132252947275,230.00069733150303,0.6082196930785015,230.86197392010672,230.81314845342106,230.00074260441477,0.6083931098822397
18,229.55089508773492,230.68020374358485,226.0268587935275,3.1393848940075597,229.55093768679268,230.67999100642027,226.02688267874368,3.1402219515392686
19,230.65556987105768,236.57591428450047,262.43645399653974,36.3281035112493,226.07633274383232,232.80260976039636,237.87460140371405,5.942637818438756
20,965.6332487466765,510.884932475535,670.0188882061786,540.4945612600919,172.68759588731584,258.84154639538264,315.1461053236447,77.4346726254918
21,3964.070193716093,3387.1766494717795,2129.695478945391,1705.592931524555,101.71496970906212,300.0136605574874,613.9508499278795,225.50389038304905
22,6202.857173521987,5538.9944513178125,3159.990548706524,2606.8638317418386,75.82106442666074,340.7363920646861,827.2792791943141,331.0794410923514
23,3964.26395454864,3386.902409049631,2129.1431235858913,1698.575227266723,101.76436008796512,299.88038075782606,613.9164813178239,224.6686538189495
24,6203.711945338368,5540.228090742247,3161.6351563842586,2585.775082806803,76.04465149424584,340.62821872781996,827.3350020048896,328.2217736570704
25,12289.87930178173,11357.97045963301,5919.53895933768,5175.658116761243,175.92308258332602,478.4599919913057,1407.0746727829453,632.5077486760498
26,15664.03208225496,14497.681899137511,7355.967828229638,5975.8521862309135,250.4607922129108,551.679299744856,1713.2044346712105,753.4623444499083
27,18948.51339283647,17563.462238699693,8747.401066399878,6785.902229512536,325.65062205782255,625.8357693062547,2011.3643579509153,874.4423481578617
28,15666.23505665185,14501.916532366762,7359.73686649021,5931.5453994042955,250.55924115741806,551.4732688072512,1713.3319310526747,747.4726241691436
29,20963.14739901304,19452.373255781655,9595.980514590537,7303.987755760996,372.4662110806006,672.6133805109689,2194.545042805386,951.0694294904331
30,23133.44472033838,21474.124728777795,10496.107279584712,7887.554377592594,423.3878675414351,724.5348390873493,2392.2300723502517,1039.1855124862736
31,20970.2034774401,19513.137440624814,9607.315001928324,7285.403746973753,372.6374443209344,672.373620704392,2194.9826806618858,944.8515239088082
32,20975.14500886014,19555.707197834345,9615.249240238812,7272.792322663799,372.76072993645903,672.2083082339319,2195.2895643107804,940.5150697350851
33,25700.53260481577,23887.546564639542,11542.325920654797,8645.37300227652,484.34058632393345,788.1291531680699,2626.673171031816,1151.887478910101
34,28579.818066908116,26616.447654581247,12697.42234598607,9569.92536639804,553.7294045006777,861.3299676245352,2890.1402821555266,1287.1936186052008
35,28601.33678232213,26689.984293615435,12720.505965596565,9503.623212760265,553.9879301411473,860.682497448375,2891.310713053684,1274.2371981223346
36,43430.33507153469,40865.79366834951,18252.255796465208,15916.9998089503,936.0645971536121,1273.4131625407974,4263.628030965137,2217.941274961168
37,43540.22130578541,40946.8305211256,18293.192018097798,16018.033189382533,944.9344310518643,1283.4107859369299,4274.839223799453,2239.1424663772013
38,46362.79857811856,43200.37112762398,19295.035653179493,18887.014234640465,1188.5948557895845,1551.007160386328,4561.555820726381,2823.627984495969
39,230.88250731469165,230.94018520380774,230.93443677627897,0.08056528767634813,230.88250731469154,230.94018520380794,230.93443677627866,0.08056528767636502
40,228.99355805368458,230.9372399018541,230.75359604709493,2.866999032620806,228.993558053684,230.93723990187056,230.75359604708254,2.8669990326025285
41,228.9935580536878,230.9372399018509,230.75359604709567,2.8669990326237147,228.9935580536867,230.93723990187024,230.7535960470817,2.8669990326026373
42,229.97107515011012,229.45632837832463,229.252545163373,0.8575734400885838,229.97107515011075,229.45632837832505,229.25254516337097,0.8575734400882321
43,229.60815779337892,229.12828815705487,228.62293168466226,1.0326224574207332,229.60815779338,229.12828815705504,228.62293168466002,1.0326224574195295
44,226.11833773754984,230.56439283628302,214.52815532072844,9.872318154735895,226.11134277387845,230.5753815553598,214.5166391685808,9.827560691020016
45,226.11833773754984,230.56439283628302,214.52815532072844,9.872318154735895,226.11134277387845,230.5753815553598,214.5166391685808,9.827560691020016
46,225.6081532010784,230.08632178825917,201.29839273551488,16.81843474318886,225.60831922902474,230.08578486918069,201.2982222738497,16.819989535753717
47,225.6081532010785,230.0863217882592,201.2983927355148,16.818434743188856,225.60831922902472,230.0857848691807,201.2982222738497,16.819989535753745
48,225.84062506827956,229.9682831603893,198.03045671393446,18.397379511742713,225.84080124959385,229.96776758941763,198.03025355618496,18.398654984578464
49,9104.310754203087,8321.010475185381,4484.927510969775,3798.5395272197065,104.65713972841901,402.40660245835716,1103.4067088298373,469.51577115860516
50,6204.245384574828,5540.9978187089055,3162.6612012565265,2572.6298887001594,76.18413586826746,340.56081463033325,827.3697932102941,326.4400628304713
51,6204.245384574827,5540.997818708906,3162.661201256527,2572.6298887001594,76.18413586826745,340.5608146303333,827.3697932102941,326.44006283047145
52,12289.879301781726,11357.97045963301,5919.538959337682,5175.658116761241,175.92308258332594,478.4599919913053,1407.0746727829448,632.507748676049
53,9105.162816550384,8321.416085692264,4484.619093767024,3776.8252328966896,104.7906809435647,402.26453780578913,1103.4156205884922,466.9835335608378
54,9105.162816550386,8321.416085692263,4484.6190937670235,3776.8252328966896,104.79068094356472,402.26453780578913,1103.4156205884922,466.98353356083817
55,18948.51339283645,17563.462238699718,8747.401066399872,6785.902229512526,325.65062205782255,625.8357693062547,2011.364357950916,874.4423481578622
56,18948.51339283645,17563.462238699718,8747.401066399872,6785.902229512526,325.65062205782255,625.8357693062547,2011.3643579509155,874.4423481578626
57,15668.691656450677,14506.63775414042,7363.938639251902,5882.212112185236,250.67003971142856,551.2439985807731,1713.4742120758397,740.8007353673579
58,15668.691656450677,14506.637754140422,7363.938639251902,5882.212112185235,250.6700397114286,551.2439985807732,1713.4742120758394,740.8007353673577
59,23801.247554625672,22096.54544179786,10773.147627100041,8068.493768898253,439.15000561559617,740.5616319396604,2453.0565918215925,1066.3701137551282
60,25122.488515545378,23342.31087347447,11308.204961999592,8468.81930237063,470.53926235143354,773.6441907770328,2573.833200829259,1125.789123859647
61,25122.48851554538,23342.310873474464,11308.20496199959,8468.819302370626,470.5392623514337,773.644190777033,2573.833200829259,1125.7891238596467
62,20978.56517451883,19597.16160363301,9620.7390242279,7224.764643326303,372.8476798096763,672.1656306808376,2195.5021573763756,931.4857858679837
63,28585.97966486512,26615.448273518763,12705.876843687047,9465.564132764328,553.8313632993522,860.996274298797,2890.576542818678,1273.156611123959
64,28585.979664865125,26615.448273518763,12705.876843687049,9465.564132764328,553.8313632993522,860.9962742987971,2890.5765428186774,1273.156611123959
65,28601.336782322192,26689.984293615347,12720.505965596563,9503.62321276031,553.9879301411461,860.6824974483729,2891.3107130536855,1274.2371981223407
66,28601.336782322203,26689.98429361535,12720.505965596563,9503.623212760309,553.9879301411462,860.6824974483728,2891.310713053686,1274.2371981223398
67,34555.91493644167,32251.690030734066,14995.589855363725,11787.029493233262,702.54434612062,1021.4840388009242,3439.9828250664314,1618.4850458111682
68,28617.819140526033,26827.145992726026,12740.855543733323,9299.82257991267,554.2331491239563,860.3914533047277,2892.360794161026,1238.543273716144
69,28617.81914052603,26827.145992726026,12740.855543733323,9299.822579912672,554.2331491239563,860.3914533047277,2892.3607941610258,1238.5432737161436
70,28601.336782322127,26689.98429361544,12720.505965596565,9503.623212760265,553.9879301411472,860.6824974483749,2891.310713053684,1274.2371981223346
71,28601.33678232213,26689.984293615435,12720.505965596563,9503.623212760265,553.9879301411473,860.682497448375,2891.310713053684,1274.2371981223343
72,34562.25214624292,32254.868595351738,15003.34691575268,11758.929271499323,702.6481838883128,1021.2766240635281,3440.483469514956,1614.112368001424
73,230.88250945859969,230.9402450171123,230.93437482869942,0.08025279829494411,230.88250945859957,230.94024501711252,230.93437482869902,0.08025279829496472
74,229.60917029018262,230.9381871160771,230.81258868640754,1.9580232652248133,229.6091702901833,230.93818711608412,230.81258868640103,1.9580232652172322
75,228.87429976561165,230.93720671384995,230.74652390654447,2.980735887591133,228.87429976561137,230.93720671385975,230.74652390653677,2.980735887578696
76,228.9211123450642,230.93270426468368,230.74541886646043,2.9324536138251522,228.92111234506388,230.9327042646935,230.74541886645272,2.932453613812844
77,229.97053753749282,229.0449640936039,229.25327156420772,1.1998995642342805,229.9705375374935,229.04496409360425,229.25327156420568,1.1998995642342156
78,229.40685489339555,228.9387599423702,228.2578491307789,1.1230564692220881,229.40685489339648,228.93875994237052,228.25784913077646,1.123056469220908
79,229.16241671773471,228.70318184127774,227.80526085052202,1.2196385494483546,229.16241671773565,228.703181841278,227.8052608505196,1.2196385494470443
80,226.0438989477416,230.55588555292235,215.7904603230334,9.792507419049823,226.04403467227928,230.55525171093296,215.79044947108432,9.795514795328772
81,229.54788538454878,230.67834817078509,226.0151252158322,3.14877440931252,229.54792799426244,230.67813546582025,226.01514905443435,3.1496100371909916
82,226.08122829549706,230.5606365564564,215.25534530411198,9.787535251071397,226.08137545823286,230.55988974369455,215.25534945873238,9.791180987844244
83,225.27705213777992,230.26513942642677,206.87440792498543,14.04182642097208,225.2772023168466,230.2645705162097,206.87428942672906,14.04393035042167
84,224.77226026123907,230.58920245622932,215.7113167665151,10.209794308180436,224.77239166613177,230.58858271125337,215.71128177776615,10.212826351985573
85,226.11615578019638,230.56417391270432,214.53689601530985,9.892893358411143,226.1163144483925,230.5632669847291,214.53692953848915,9.897420611680733
86,225.4366593413956,230.18405392149248,204.38361319788868,15.173928727281035,225.4368174459829,230.1835007163623,204.38346921168994,15.17577012106406
87,224.62162771214076,230.61884011833016,215.6453898474904,10.089633313444478,224.62176520649155,230.61823201173743,215.64533503606165,10.092603321937741
88,226.11833773754987,230.56439283628302,214.52815532072844,9.872318154735897,226.11134277387845,230.5753815553598,214.5166391685808,9.827560691020011
89,225.6081532010784,230.08632178825917,201.29839273551482,16.818434743188856,225.60831922902472,230.08578486918066,201.2982222738497,16.819989535753717
90,224.64826421059715,230.63720484973825,215.60812031222554,10.050192050906409,224.6484048958147,230.63660188692722,215.60805619559045,10.053130550661738
91,224.4449580704565,230.62674719345875,215.62501578362767,10.106520950604013,224.44509644159928,230.62614284104689,215.62495473257195,10.109478192117885
92,225.7444675345477,230.02115379718754,198.32609736665106,18.65656265221909,225.74463955198433,230.02062936778773,198.325906310811,18.657882258040846
93,225.84062506827956,229.96828316038926,198.03045671393443,18.397379511742713,225.84080124959385,229.96776758941763,198.03025355618496,18.398654984578464
94,225.8425125606074,229.96780009395806,197.98633865600328,18.41286449454987,225.84268882353797,229.9672846955695,197.98613507895993,18.414136932160137
95,225.84250820715891,229.96780251377953,198.0292074520282,18.37355869430777,225.84268447006608,229.96728711543145,198.02900405236036,18.374832515668903
96,9104.310754203101,8321.010475185374,4484.927510969788,3798.5395272196047,104.65713972841904,402.4066024583572,1103.4067088298373,469.51577115860516
97,3964.479736685477,3386.597140709671,2128.528199760856,1690.769116407144,101.8193692050401,299.7320723835528,613.8782292660563,223.73895496503633
98,6204.245384574828,5540.9978187089055,3162.661201256527,2572.6298887001594,76.18413586826745,340.5608146303333,827.3697932102941,326.4400628304715
99,9105.569644056266,8322.160264362074,4489.419104288066,3741.5752983676225,105.15209728284243,402.0057523532471,1103.5422960653088,462.22913516711185
100,9105.162816550384,8321.416085692264,4484.619093767024,3776.825232896689,104.79068094356474,402.26453780578913,1103.4156205884922,466.98353356083805
101,9105.937271883222,8322.496090358505,4490.729234109368,3724.978536177902,105.29669783948661,401.88892068483733,1103.5818968367817,460.10580327437214
102,18948.513392836452,17563.462238699718,8747.401066399872,6785.902229512526,325.65062205782255,625.8357693062547,2011.3643579509157,874.4423481578623
103,18948.804514375042,17563.484922726817,8747.755711660384,6785.2893887140635,325.65868540695817,625.815189533198,2011.3778059703718,874.3582079458555
104,15668.691656450676,14506.637754140422,7363.938639251904,5882.212112185236,250.67003971142856,551.2439985807731,1713.4742120758394,740.8007353673573
105,20968.209812944464,19452.64876659061,9603.911191861222,7205.834933613469,372.59196987243365,672.1808364042593,2194.8584134668954,938.2887195982108
106,23801.24755462567,22096.545441797858,10773.147627100041,8068.493768898253,439.15000561559617,740.5616319396603,2453.0565918215925,1066.370113755128
107,20970.203477440096,19513.137440624818,9607.31500192832,7285.403746973753,372.6374443209344,672.373620704392,2194.9826806618858,944.8515239088086
