nodes,type
3864865,slack
1899410,transit
1899467,transit
1947086,transit
1942758,transit
2189603,transit
1812350,transit
2372202,transit
3225372,transit
3225367,transit
1819173,transit
1899417,transit
1942780,transit
1942888,transit
3225514,transit
1942897,transit
1899436,transit
2239820,transit
2579142,transit
2524214,transit
2579364,transit
2579394,transit
2579348,transit
2580315,transit
2579409,transit
2524255,transit
2524230,transit
2524245,transit
2579444,transit
2524295,transit
1899443,transit
2239764,transit
2239794,transit
2239765,transit
3158034,transit
3158039,transit
2239779,transit
2239774,transit
1903670,transit
2580580,transit
2524115,transit
2524134,transit
1903685,transit
3525444,transit
1903690,transit
1903695,transit
2524139,transit
3158044,transit
2475640,transit
1903706,transit
2475645,transit
2524202,transit
3525454,transit
1903705,transit
1903768,transit
1903835,transit
1903860,transit
1903976,transit
1903900,transit
2579560,transit
1903982,transit
1904017,transit
2581468,transit
1904037,transit
1904374,transit
1904384,transit
1899476,transit
1899491,transit
1947095,transit
41568,transit
2189612,transit
2372207,transit
1812340,transit
1942797,transit
3612708,transit
1942778,transit
1942936,transit
1942953,transit
2579147,transit
2524265,transit
2524270,transit
2524235,transit
2524240,transit
3495364,transit
3495365,transit
2524300,transit
2524305,transit
2524310,transit
2239803,transit
3525464,transit
2524105,transit
2524110,transit
2475379,transit
2239793,transit
3525465,transit
3525466,transit
2578521,transit
2524174,transit
2524179,transit
1903700,transit
3525445,transit
3525446,transit
2475650,transit
1903719,transit
1903724,transit
1903729,transit
2524207,transit
2524212,transit
3525455,transit
2524213,transit
1903783,transit
1903920,transit
1903840,transit
1903845,transit
1903875,transit
1903890,transit
1904022,transit
1903945,transit
1903950,transit
3525437,transit
1903880,transit
3525427,transit
1904002,transit
2522946,transit
1904379,transit
1904389,transit
1904394,transit
0,load
101618079,load
100772723,load
15141501,load
101683552,load
500012188,load
101635714,load
101635718,load
15262101,load
15147201,load
15262201,load
500005759,load
15262001,load
15262301,load
500005780,load
15261801,load
4292701,load
100799471,load
500005782,load
15263601,load
15261701,load
500005783,load
15261901,load
500005785,load
500005784,load
15143901,load
15142501,load
15143201,load
4279401,load
15143701,load
15144101,load
15143101,load
15144401,load
15142801,load
15144601,load
100381915,load
500002935,load
4279701,load
4279501,load
4279601,load
15143001,load
15144701,load
15145001,load
15144901,load
15145101,load
15145401,load
15146801,load
15145501,load
100836019,load
15146901,load
15145901,load
15145801,load
15146601,load
36443301,load
33805801,load
32485201,load
