nodefrom,nodeto,cable,length,PCR
3864451,44297,BT - Desconocido BT,1.0,0
44297,3226323,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",52.0,0
3226323,3226328,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",40.0,0
3226328,1120085,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.0,100481860
3864451,44284,BT - Desconocido BT,1.0,0
44284,2264563,BT - Desconocido BT,15.0,0
2264563,3191441,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,0
2264563,3191475,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,0
3191441,3191434,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.61,0
3191475,3191750,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",32.0,0
3191434,3191676,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",18.16,0
3191434,3191485,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.33,0
3191434,4075278,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",8.33,97610238
3191434,4075353,"BT - RV 0,6/1 KV 4*95 KAL",7.13,97610239
3191750,3191758,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,0
3191750,3191755,"BT - RV 0,6/1 KV 4*25 KAL",4.0,15188801
3191676,3191766,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",27.0,0
3191676,3191685,"BT - RV 0,6/1 KV 4*25 KAL",9.0,15189501
3191485,3191502,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.81,0
3191485,3191508,"BT - RV 0,6/1 KV 4*25 KAL",5.0,36785701
3191758,3191779,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",13.0,0
3191758,3191763,"BT - RV 0,6/1 KV 4*25 KAL",5.0,15189001
3191766,3191789,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",18.0,0
3191766,3191771,"BT - RV 0,6/1 KV 4*25 KAL",7.0,15190201
3191766,3191776,"BT - RV 0,6/1 KV 4*25 KAL",7.0,15190401
3191685,3191706,BT - MANGUERA,5.0,15189401
3191685,3191711,BT - MANGUERA,2.0,0
3191685,3191747,BT - MANGUERA,9.0,0
3191685,3191744,BT - MANGUERA,10.0,15189701
3191502,3191564,"BT - RV 0,6/1 KV 4*25 KAL",6.71,1518851
3191502,3446393,"BT - RV 0,6/1 KV 2*25 KAL",3.95,15188401
3191508,3191539,BT - MANGUERA,6.76,15189101
3191779,3193957,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",19.11,0
3191779,3191784,"BT - RV 0,6/1 KV 4*25 KAL",4.0,32823501
3191789,3191480,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.0,0
3191789,3191794,"BT - RV 0,6/1 KV 4*25 KAL",10.0,15190701
3191747,3191738,BT - MANGUERA,4.0,15189901
3191564,3191637,BT - MANGUERA,6.49,0
3191564,3191633,BT - MANGUERA,7.03,0
3191564,3191625,BT - MANGUERA,8.21,0
3193957,3191471,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",8.24,0
3193957,3193967,"BT - RV 0,6/1 KV 4*25 KAL",4.81,15189801
3193957,3622002,"BT - RV 0,6/1 KV 4*95 KAL",4.19,15189601
3191480,3194096,"BT - RV 0,6/1 KV 2*25 KAL",8.0,15191001
3191480,3194125,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",20.0,0
3191794,3194097,BT - MANGUERA,6.29,15190501
3191794,3194105,BT - MANGUERA,5.73,0
3191794,3194110,BT - MANGUERA,8.24,15190901
3191637,3191644,BT - MANGUERA,5.0,0
3191633,3191610,BT - MANGUERA,5.0,15188701
3191471,3193988,"BT - RV 0,6/1 KV 4*25 KAL",11.0,15190101
3191471,3194031,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",23.0,0
3194125,3194140,"BT - RV 0,6/1 KV 4*25 KAL",6.0,8840001
3194125,3194145,"BT - RV 0,6/1 KV 4*25 KAL",6.0,15191501
3194125,3194184,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,0
3191644,3191586,BT - MANGUERA,4.0,15188901
3193988,3194006,BT - MANGUERA,5.09,15191101
3194031,3194050,"BT - RV 0,6/1 KV 4*25 KAL",6.0,90184501
3194184,3194438,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,0
3194050,3194062,BT - MANGUERA,11.69,0
3194438,3194443,"BT - RV 0,6/1 KV 4*25 KAL",8.0,100696008
3194438,3194448,"BT - RV 0,6/1 KV 4*25 KAL",6.0,15191201
3194438,3194458,"BT - RV 0,6/1 KV 4*25 KAL",9.65,101683460
3194438,3194467,"BT - RV 0,6/1 KV 4*25 KAL",5.0,4286602
3194438,3194477,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",11.0,0
3194062,3194071,BT - MANGUERA,14.0,90184601
