ID,PCR,Fase
SAG0145400570,15149001,R
SAG0145400570,15149001,(Mono)
SAG0145443317,100095358,T
SAG0145443317,100095358,(Mono)
SAG0145445426,31141601,R
SOG0020025667,15149001,R
SOG0020025667,15149001,(Mono)
SOG0020047360,15187301,T
SOG0020047360,15187301,(Mono)
ZIV0034670136,100095337,(Mono)
ZIV0034790380,30913501,S
ZIV0034790382,30913501,R
ZIV0034790385,30913501,S
ZIV0034790385,30913501,(Mono)
ZIV0034790661,100095358,T
ZIV0034790661,100095358,(Mono)
ZIV0034790662,30913501,T
ZIV0034790665,30913501,(Mono)
ZIV0034790666,30913501,S
ZIV0034790666,30913501,(Mono)
ZIV0034810808,31141601,S
ZIV0034810810,100095337,R
ZIV0034810816,100095358,(Mono)
ZIV0034810816,100095358,(Mono)
ZIV0034810841,31142401,R
ZIV0034810858,100095337,T
ZIV0034810860,100095337,S
ZIV0034810861,100095337,R
ZIV0034810862,100095337,T
ZIV0034810863,100095337,(Mono)
ZIV0034810863,100095337,(Mono)
ZIV0034810864,100095337,S
ZIV0034810865,100095337,R
ZIV0034810866,100095337,T
ZIV0034810893,100095358,T
ZIV0034810893,100095358,(Mono)
ZIV0034813767,100095337,T
ZIV0034813828,100095358,R
ZIV0034813828,100095358,(Mono)
ZIV0034813829,100095358,S
ZIV0034813829,100095358,(Mono)
ZIV0034813830,100095358,R
ZIV0034813830,100095358,(Mono)
ZIV0034813831,100095358,T
ZIV0034813831,100095358,(Mono)
ZIV0034813832,100095358,(Mono)
ZIV0034813832,100095358,(Mono)
ZIV0034813833,100095358,R
ZIV0034813833,100095358,(Mono)
ZIV0034813834,100095358,R
ZIV0034813834,100095358,(Mono)
ZIV0034813836,100095358,T
ZIV0034813836,100095358,(Mono)
ZIV0034813837,100095358,T
ZIV0034813837,100095358,(Mono)
ZIV0034813953,31141601,R
ZIV0034813954,31141601,T
ZIV0034813955,31141601,S
ZIV0034814058,31141601,T
ZIV0034814059,31141601,T
ZIV0034814060,31141601,T
ZIV0034814061,31141601,S
ZIV0034814063,31141601,T
ZIV0034814064,31141601,S
ZIV0034814065,31141601,R
ZIV0034814066,31141601,R
ZIV0034814067,31141601,R
ZIV0034816778,31142401,R
ZIV0034816779,31142401,T
ZIV0034816780,31142401,S
ZIV0034816781,31142401,S
ZIV0034816782,31142401,R
ZIV0034816783,31142401,S
ZIV0034816785,31142401,T
ZIV0034816786,31142401,S
ZIV0034816787,31142401,R
ZIV0034816858,100095358,S
ZIV0034816858,100095358,(Mono)
ZIV0034816859,100095358,S
ZIV0034816859,100095358,(Mono)
ZIV0034816860,100095358,(Mono)
ZIV0034816860,100095358,(Mono)
ZIV0034816861,100095337,S
ZIV0034816862,100095358,S
ZIV0034816862,100095358,(Mono)
ZIV0034816863,100095358,S
ZIV0034816863,100095358,(Mono)
ZIV0034816864,100095358,R
ZIV0034816864,100095358,(Mono)
ZIV0034816865,100095358,R
ZIV0034816865,100095358,(Mono)
ZIV0034816866,100095358,T
ZIV0034816866,100095358,(Mono)
ZIV0034816867,100095358,T
ZIV0034816867,100095358,(Mono)
ZIV0034816948,100095358,S
ZIV0034816948,100095358,(Mono)
ZIV0034816949,100095358,(Mono)
ZIV0034816949,100095358,(Mono)
ZIV0034816950,100095358,T
ZIV0034816950,100095358,(Mono)
ZIV0034816951,100095358,T
ZIV0034816951,100095358,(Mono)
ZIV0034816952,100095358,S
ZIV0034816952,100095358,(Mono)
ZIV0034816953,100095358,R
ZIV0034816953,100095358,(Mono)
ZIV0034816955,100095358,(Mono)
ZIV0034816955,100095358,(Mono)
ZIV0034816956,100095358,S
ZIV0034816956,100095358,(Mono)
ZIV0034816957,100095358,R
ZIV0034816957,100095358,(Mono)
ZIV0034817058,100095317,T
ZIV0034817060,100095317,T
ZIV0034817061,100095317,(Mono)
ZIV0034817062,100095317,S
ZIV0034817063,100095317,T
ZIV0034817064,100095317,R
ZIV0034817066,100095317,R
ZIV0034817067,100095317,S
ZIV0034817068,31142501,R
ZIV0034817070,31142501,S
ZIV0034817071,31142501,R
ZIV0034817072,31142501,R
ZIV0034817073,31142501,T
ZIV0034817074,31142501,T
ZIV0034817075,31142501,S
ZIV0034817076,31142501,T
ZIV0034817077,31142501,T
ZIV0034817178,30913501,R
ZIV0034817179,100095317,S
ZIV0034817180,100095317,T
ZIV0034817181,30913501,T
ZIV0034817182,100095317,S
ZIV0034817183,30913501,R
ZIV0034817184,100095317,R
ZIV0034817185,100095317,R
ZIV0034817186,100095317,T
ZIV0034817187,100095317,T
ZIV0034840323,15149101,S
ZIV0034840323,15149101,(Mono)
ZIV0034844605,100095337,S
ZIV0034844774,15187301,T
ZIV0034844774,15187301,(Mono)
ZIV0034844883,30913501,T
ZIV0034844883,30913501,(Mono)
ZIV0034850002,37879371,T
ZIV0034850002,37879371,(Mono)
ZIV0034850100,37879371,T
ZIV0034850100,37879371,(Mono)
ZIV0034850101,37879371,S
ZIV0034850101,37879371,(Mono)
ZIV0034850102,37879371,T
ZIV0034850102,37879371,(Mono)
ZIV0034850106,37879371,R
ZIV0034850106,37879371,(Mono)
ZIV0034850108,37879371,S
ZIV0034850108,37879371,(Mono)
ZIV0034850359,37879371,S
ZIV0034850359,37879371,(Mono)
ZIV0034850360,37879371,S
ZIV0034850360,37879371,(Mono)
ZIV0034850361,37879371,S
ZIV0034850361,37879371,(Mono)
ZIV0034850362,37879371,T
ZIV0034850362,37879371,(Mono)
ZIV0034850363,37879371,T
ZIV0034850363,37879371,(Mono)
ZIV0034850365,37879371,R
ZIV0034850365,37879371,(Mono)
ZIV0034850367,37879371,R
ZIV0034850367,37879371,(Mono)
ZIV0034850368,37879371,R
ZIV0034850368,37879371,(Mono)
ZIV0034861923,31142401,T
ZIV0034861927,31141601,S
