nodefrom,nodeto,cable,length,PCR
3864106,1271976,BT - Desconocido BT,1.0,0
1271976,3564160,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",16.69,0
3564160,3564176,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",21.79,0
3564176,3564181,"BT - RV 0,6/1 KV 4*95 KAL",5.2,100095337
3564176,3564186,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",16.12,0
3564186,3564191,"BT - RV 0,6/1 KV 4*95 KAL",5.1,100095317
3564186,3564196,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",15.79,0
3564196,3564201,"BT - RV 0,6/1 KV 4*95 KAL",5.19,30913501
3564196,3564206,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",10.34,0
3564206,3564121,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",16.39,0
3564121,1272077,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",25.97,0
1272077,41503,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",57.0,0
1272077,2581373,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",6.0,35099301
2581373,2581372,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.0,15149101
2581372,2581388,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",16.0,15149001
2581388,2519986,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",34.0,0
3864106,1271991,BT - Desconocido BT,1.0,0
1271991,3564142,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",10.47,0
3564142,3564130,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",18.1,0
3564142,3564150,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",6.48,0
3564130,3564116,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",10.53,0
3564150,3564147,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",4.73,100095358
3564116,1272310,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.54,0
1272310,2575617,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",4.0,15187301
2575617,45286,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",32.0,0
3864106,1272001,BT - Desconocido BT,1.0,0
1272001,2611370,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",9.0,0
2611370,1272340,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",3.0,31142501
2611370,2611367,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",9.0,0
2611367,2537276,"BT - RV 0,6/1 KV 4*95 KAL",3.0,31142401
2611367,2714096,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",12.0,0
2714096,2714101,"BT - RV 0,6/1 KV 4*95 KAL",3.0,31141601
2714096,3225666,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",166.98,0
3225666,1272330,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",18.15,0
1272330,1272375,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.0,15175601
1272330,3225672,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",14.95,0
1272375,2538869,BT - MANGUERA,2.0,37189701
3225672,455226,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",2.29,0
3864106,1272009,BT - Desconocido BT,1.0,0
1272009,2069103,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",60.39,0
2069103,2069113,"BT - RV 0,6/1 KV 4*25 KAL",6.0,15187701
2069103,2069134,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",18.0,0
2069134,2069118,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.03,0
2069134,2069192,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,100847767
3864106,1272016,BT - Desconocido BT,1.0,0
1272016,3564223,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.99,0
3564223,3564228,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",64.46,0
3564228,3564122,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",5.48,0
3564122,1272408,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",25.68,0
1272408,1272418,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.0,37879371
1272408,3294622,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.45,0
3294622,1272428,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.46,0
