nodes,type
3864106,slack
1271976,transit
3564160,transit
3564176,transit
3564186,transit
3564196,transit
3564206,transit
3564121,transit
1272077,transit
2581373,transit
2581372,transit
2581388,transit
1271991,transit
3564142,transit
3564130,transit
3564150,transit
3564116,transit
1272310,transit
2575617,transit
1272001,transit
2611370,transit
2611367,transit
2714096,transit
3225666,transit
1272330,transit
1272375,transit
3225672,transit
1272009,transit
2069103,transit
2069134,transit
1272016,transit
3564223,transit
3564228,transit
3564122,transit
1272408,transit
3294622,transit
3564181,transit
3564191,transit
3564201,transit
41503,transit
2519986,transit
3564147,transit
45286,transit
1272340,transit
2537276,transit
2714101,transit
2538869,transit
455226,transit
2069113,transit
2069118,transit
2069192,transit
1272418,transit
1272428,transit
0,load
100095337,load
100095317,load
30913501,load
35099301,load
15149101,load
15149001,load
100095358,load
15187301,load
31142501,load
31142401,load
31141601,load
15175601,load
37189701,load
15187701,load
100847767,load
37879371,load
