node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.92732709962354,230.9247098540952,230.93623387640375,0.01345909892301179,230.92732709962354,230.9247098540951,230.93623387640378,0.013459098922927473
2,230.76367320740175,230.72283977450158,230.88508749983353,0.27572914882241795,230.7636732074013,230.722839774502,230.88508749983347,0.27572914882199545
3,230.5640058747818,230.51812014212956,230.81590364019632,0.45636301039795496,230.56400587478038,230.51812014213144,230.8159036401959,0.4563630103963248
4,230.93348827187518,230.93430893575444,230.9288641697445,0.006358379200356329,230.93348827187512,230.93430893575436,230.9288641697446,0.006358379200478941
5,230.9133956637551,230.91690441118217,230.89537863261506,0.03492062214456302,230.91339566375493,230.916904411182,230.89537863261535,0.03492062214493568
6,230.77489067746615,230.738929352194,230.45680315765415,0.32073501557864875,230.774890677464,230.738929352193,230.45680315765637,0.32073501558201883
7,230.77489067746657,230.7389293521946,230.45680315765355,0.32073501557811845,230.77489067746356,230.73892935219325,230.45680315765628,0.32073501558194206
8,231.09475954186783,230.9699848342461,234.79757615399538,5.125068099999336,231.03064868339007,231.00775647797425,234.4760060234489,5.006601417095486
9,236.83483293958554,229.9105885173938,344.56111020131107,197.48324414126796,234.416791772981,230.94935056331923,336.53983291925323,191.76865492865286
10,241.62373118838707,230.41883344450545,344.3187191702318,189.155013342039,234.1740391274918,231.46555351839416,336.23978693037566,188.8309884026732
11,241.6237311883872,230.4188334445052,344.3187191702319,189.15501334203884,234.17403912749322,231.46555351839345,336.23978693037463,188.83098840267402
12,230.5640058747818,230.5181201421295,230.8159036401964,0.4563630103979364,230.56400587478038,230.51812014213144,230.8159036401959,0.45636301039632476
13,230.77489067746663,230.73892935219465,230.45680315765347,0.3207350155780668,230.77489067746356,230.73892935219325,230.45680315765622,0.32073501558189654
14,241.62373118838715,230.41883344450522,344.31871917023193,189.15501334203884,234.17403912749327,231.4655535183934,336.23978693037463,188.83098840267405
15,230.56400587478112,230.51812014213002,230.81590364019596,0.4563630103979323,230.56400587478038,230.5181201421308,230.81590364019587,0.45636301039699445
16,230.88293633353086,230.90632029890665,230.89853865235213,0.07631287880409916,230.88293633353064,230.9063202989066,230.89853865235239,0.07631287880420988
17,230.7585016111733,230.71616967898626,230.40446645720388,0.3438868075918049,230.7585016111711,230.7161696789853,230.40446645720613,0.343886807595275
18,237.42262537034736,229.95298586940336,367.0237361342127,221.11593240343922,234.74692404156335,231.1070173772711,357.8476049890742,214.26408496052042
19,242.28831280750993,230.44679597657918,344.2935828370489,188.42220508110427,234.1527778340696,231.5010549475889,336.20496883641516,188.57444625303822
