nodefrom,nodeto,cable,length,kind,PCR
3862641,1016612,BT - Desconocido BT,1.0,Subterráneo,0
1016612,1016768,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",13.0,Subterráneo,0
1016768,2578469,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",13.0,Aéreo,4279301
2578469,41683,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",35.0,Aéreo,0
41683,2524030,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.0,Aéreo,0
3862641,1016598,BT - Desconocido BT,1.0,Subterráneo,0
1016598,1017052,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,Subterráneo,0
1017052,1016874,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",38.0,Subterráneo,0
1017052,1017066,BT - Desconocido BT,10.0,Subterráneo,100243274
1016874,3226372,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",38.3,Subterráneo,0
1016874,1016927,"BT - RV 0,6/1 KV 4*95 KAL",3.0,Subterráneo,100243227
3226372,1016857,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.6,Subterráneo,0
3862641,1016591,BT - Desconocido BT,1.0,Subterráneo,0
1016591,1016898,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",25.0,Subterráneo,0
1016898,1016893,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",34.0,Subterráneo,0
1016898,1016922,"BT - RV 0,6/1 KV 4*95 KAL",3.0,Subterráneo,100243221
1016893,3226367,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",22.92,Subterráneo,0
1016893,1016937,"BT - RV 0,6/1 KV 4*95 KAL",3.0,Subterráneo,100243255
3226367,1016862,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",4.09,Subterráneo,0
