nodes,type
3864018,slack
1664135,transit
4016699,transit
4016747,transit
4016738,transit
4016726,transit
3225759,transit
1664145,transit
4016729,transit
4016574,transit
2538893,transit
2581658,transit
2581629,transit
2579473,transit
3453987,transit
3453990,transit
3453973,transit
1664155,transit
4016751,transit
3225796,transit
1664221,transit
4016732,transit
4016561,transit
43368,transit
2581614,transit
2581598,transit
2581589,transit
2581579,transit
3453981,transit
2529332,transit
1664232,transit
4016735,transit
3225791,transit
3453881,transit
43348,transit
3453694,transit
113159,transit
2581407,transit
3453763,transit
3453725,transit
43351,transit
43345,transit
43352,transit
3453892,transit
43346,transit
3453741,transit
2581458,transit
3453744,transit
43347,transit
1664257,transit
43309,transit
3294626,transit
4016708,transit
43361,transit
3453982,transit
43316,transit
3453978,transit
3294632,transit
2527159,transit
4016533,transit
3418024,transit
2529337,transit
3453875,transit
3453757,transit
3453760,transit
3453730,transit
3453768,transit
3453779,transit
3453897,transit
3453735,transit
43353,transit
3453830,transit
3453749,transit
3453957,transit
45261,transit
0,load
15127601,load
15156901,load
15127201,load
15157101,load
37762201,load
32747801,load
15156801,load
15127501,load
15127401,load
4278401,load
97502620,load
15179701,load
15179901,load
15184401,load
4276601,load
30438701,load
31216201,load
15184101,load
500010296,load
8813001,load
4276701,load
