nodefrom,nodeto,cable,length,kind,PCR
3864018,1664135,BT - Desconocido BT,1.0,Subterráneo,0
1664135,4016699,BT - Desconocido BT,2.14,Subterráneo,0
4016699,4016747,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",10.87,Subterráneo,0
4016699,4016738,BT - Desconocido BT,10.67,Subterráneo,0
4016747,4016726,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",8.4,Subterráneo,0
4016738,3225759,BT - Desconocido BT,15.62,Subterráneo,0
4016726,4016708,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",29.34,Subterráneo,15127601
3225759,43361,BT - Desconocido BT,13.65,Aéreo,0
3864018,1664145,BT - Desconocido BT,1.0,Subterráneo,0
1664145,4016729,BT - Desconocido BT,14.74,Subterráneo,0
4016729,4016574,BT - Desconocido BT,14.55,Subterráneo,0
4016574,2538893,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",18.24,Aéreo,15156901
4016574,2581658,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",33.72,Aéreo,15127201
2538893,2581629,BT - Desconocido BT,12.0,Aéreo,15157101
2581658,2579473,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",50.24,Aéreo,37762201
2581629,3453987,BT - Desconocido BT,2.11,Aéreo,0
2579473,3453982,BT - Desconocido BT,15.61,Subterráneo,0
3453987,3453990,BT - Desconocido BT,1.44,Subterráneo,0
3453990,3453973,BT - Desconocido BT,7.29,Subterráneo,0
3453973,43316,BT - Desconocido BT,3.86,Subterráneo,0
3453973,3453978,BT - Desconocido BT,2.9,Subterráneo,32747801
3864018,1664155,BT - Desconocido BT,1.0,Subterráneo,0
1664155,4016751,BT - Desconocido BT,12.54,Subterráneo,0
4016751,3225796,BT - Desconocido BT,8.49,Subterráneo,0
3225796,3294632,BT - Desconocido BT,36.36,Subterráneo,0
3864018,1664221,BT - Desconocido BT,1.0,Subterráneo,0
1664221,4016732,BT - Desconocido BT,14.12,Subterráneo,0
4016732,4016561,BT - Desconocido BT,14.53,Subterráneo,0
4016561,43368,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.09,Aéreo,0
4016561,2581614,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",1.3,Aéreo,15156801
43368,2581598,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",12.0,Aéreo,15127501
43368,2527159,"BT - RZ 0,6/1 KV 4*16 AL",13.58,Aéreo,15127601
2581614,4016533,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.81,Aéreo,0
2581598,2581589,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",11.0,Aéreo,15127401
2581589,2581579,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",12.0,Aéreo,4278401
2581579,3453981,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.33,Aéreo,97502620
3453981,2529332,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",8.52,Aéreo,15179701
2529332,3418024,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.29,Aéreo,0
2529332,2529337,BT - MANGUERA,10.9,Aéreo,15179901
3864018,1664232,BT - Desconocido BT,1.0,Subterráneo,0
1664232,4016735,BT - Desconocido BT,14.41,Subterráneo,0
4016735,3225791,BT - Desconocido BT,15.59,Subterráneo,0
3225791,3453881,BT - Desconocido BT,13.98,Aéreo,0
3453881,43348,BT - Desconocido BT,9.43,Aéreo,0
3453881,3453875,BT - Desconocido BT,1.05,Aéreo,0
43348,3453694,BT - Desconocido BT,20.89,Aéreo,0
43348,113159,BT - Desconocido BT,8.08,Aéreo,15184401
3453694,2581407,BT - Desconocido BT,6.75,Aéreo,4276601
113159,3453763,BT - Desconocido BT,1.21,Aéreo,0
113159,3453757,BT - MANGUERA,3.75,Aéreo,0
113159,3453760,BT - MANGUERA,15.71,Aéreo,0
2581407,3453725,BT - Desconocido BT,11.25,Aéreo,0
2581407,3453730,BT - Desconocido BT,6.98,Aéreo,0
3453763,43351,BT - Desconocido BT,49.86,Aéreo,0
3453763,3453768,BT - Desconocido BT,2.87,Aéreo,0
3453725,43345,BT - Desconocido BT,5.49,Aéreo,0
43351,43352,BT - Desconocido BT,5.62,Aéreo,30438701
43351,3453892,BT - Desconocido BT,8.28,Aéreo,0
43345,43346,BT - Desconocido BT,4.61,Aéreo,31216201
43345,3453741,BT - Desconocido BT,18.88,Aéreo,0
43352,3453779,BT - Desconocido BT,4.38,Aéreo,0
3453892,2581458,BT - Desconocido BT,6.6,Aéreo,15184101
3453892,3453897,BT - Desconocido BT,6.19,Aéreo,500010296
43346,3453735,BT - Desconocido BT,3.74,Aéreo,0
3453741,3453744,BT - Desconocido BT,5.68,Aéreo,0
2581458,43353,BT - Desconocido BT,10.18,Aéreo,8813001
2581458,3453830,BT - Desconocido BT,3.98,Aéreo,0
3453744,43347,BT - Desconocido BT,7.28,Aéreo,4276701
43347,3453749,BT - Desconocido BT,4.26,Aéreo,0
3864018,1664257,BT - Desconocido BT,1.0,Subterráneo,0
1664257,43309,BT - Desconocido BT,61.66,Subterráneo,0
43309,3294626,BT - Desconocido BT,27.42,Subterráneo,0
43309,3453957,BT - Desconocido BT,30.18,Subterráneo,0
3294626,45261,BT - Desconocido BT,3.5,Subterráneo,0
