ID,PCR,Fase
SAG0125600429,15179901,(Mono)
ZIV0034817023,15184401,R
ZIV0034817040,15184401,T
ZIV0034817046,15184401,T
ZIV0034831594,15179901,(Mono)
ZIV0034831685,15179701,S
ZIV0034831718,15179901,R
ZIV0034850149,15157101,S
ZIV0034907581,15184101,R
ZIV0040328774,4278401,T
ZIV0040351032,4276701,T
ZIV0040372428,32747801,S
ZIV0040383371,4276701,S
ZIV0040383376,4276701,S
ZIV0040383377,4276701,S
ZIV0040432988,4276701,T
ZIV0040637031,15156901,RST
ZIV0040637036,32747801,RST
ZIV0040637123,15127201,(Mono)
ZIV0040637126,30438701,RST
ZIV0040637164,4276601,RST
ZIV0040637227,15157101,(Mono)
ZIV0044828915,4276701,T
ZIV0044828917,4276701,R
ZIV0044828920,4276601,T
ZIV0044842392,4276701,S
ZIV0045434540,15156901,(Mono)
ZIV0045434541,32747801,(Mono)
ZIV0045434543,4276601,RST
ZIV0045434546,32747801,(Mono)
ZIV0045434548,4276601,RST
ZIV0045434631,8813001,RST
ZIV0045434637,30438701,RST
ZIV0045434668,4276701,RST
ZIV0045434746,15127401,RST
ZIV0045434748,15127501,RST
ZIV0045434749,15127201,(Mono)
ZIV0045441645,15184401,RST
ZIV0045774510,30438701,T
ZIV0045774511,30438701,T
ZIV0045774512,30438701,S
ZIV0045774515,30438701,R
ZIV0045774516,30438701,S
ZIV0045774517,30438701,R
ZIV0045774559,15184401,S
ZIV0045774703,8813001,S
ZIV0045774708,8813001,T
ZIV0045774740,4276701,S
ZIV0045774741,4276701,S
ZIV0045774742,4276701,T
ZIV0045774743,4276701,R
ZIV0045774744,4276701,T
ZIV0045774745,4276701,R
ZIV0045774746,4276701,S
ZIV0045774747,4276701,S
ZIV0045774748,4276701,S
ZIV0045774749,4276701,S
ZIV0045774760,4276601,(Mono)
ZIV0045774761,4276601,R
ZIV0045774762,4276601,S
ZIV0045774763,4276701,R
ZIV0045774765,4276601,R
ZIV0045774768,4276601,T
ZIV0045774769,4276601,S
ZIV0045774820,32747801,(Mono)
ZIV0045774821,32747801,(Mono)
ZIV0045774822,32747801,(Mono)
ZIV0045774823,32747801,(Mono)
ZIV0045774824,32747801,(Mono)
ZIV0045774825,32747801,(Mono)
ZIV0045774826,32747801,(Mono)
ZIV0045774827,32747801,(Mono)
ZIV0045774828,32747801,(Mono)
ZIV0045774829,32747801,(Mono)
ZIV0045774830,15156801,R
ZIV0045774832,15156901,(Mono)
ZIV0045774833,15156901,(Mono)
ZIV0045774834,15156901,(Mono)
ZIV0045774838,15156901,(Mono)
ZIV0045774839,15156901,(Mono)
ZIV0045774900,4276601,S
ZIV0045774901,4276601,R
ZIV0045774902,4276601,T
ZIV0045774903,4276601,(Mono)
ZIV0045774904,4276601,R
ZIV0045774905,4276601,R
ZIV0045774906,4276601,R
ZIV0045774907,4276601,S
ZIV0045774908,4276601,T
ZIV0045774909,4276601,(Mono)
ZIV0045774920,4276701,R
ZIV0045774921,4276701,T
ZIV0045774923,4276701,R
ZIV0045774925,4276701,(Mono)
ZIV0045774926,4276701,T
ZIV0045774928,4276701,S
ZIV0045774929,4276701,R
ZIV0045777114,15184401,T
ZIV0045777220,4276701,R
ZIV0045777221,4276701,S
ZIV0045777222,4276701,T
ZIV0045777223,4276701,S
ZIV0045777224,4276701,T
ZIV0045777226,4276701,R
ZIV0045777228,4276701,T
ZIV0045777229,4276701,T
ZIV0045777261,15184401,S
ZIV0045777282,4278401,T
ZIV0045777283,15127501,S
ZIV0045777286,15127601,R
ZIV0045777287,15127201,R
ZIV0045777288,15127201,S
ZIV0045777289,15127401,T
ZIV0045777294,8813001,T
ZIV0045777300,4276601,T
ZIV0045777301,4276601,S
ZIV0045777303,4276601,S
ZIV0045777304,4276601,R
ZIV0045777305,4276601,T
ZIV0045777306,4276601,(Mono)
ZIV0045777307,4276601,T
ZIV0045777308,4276601,T
ZIV0045777309,4276601,S
ZIV0045777362,15184401,R
ZIV0045777416,8813001,T
ZIV0045777470,15184401,T
ZIV0045777473,8813001,R
ZIV0045777474,8813001,R
ZIV0045777479,8813001,S
ZIV0046942980,4276601,R
ZIV0046990898,4276601,(Mono)
ZIV0046992332,4276601,S
