nodes,type
3863668,slack
1320607,transit
3226509,transit
3226520,transit
1320619,transit
1320626,transit
2267894,transit
1320703,transit
1351895,transit
3226539,transit
1320631,transit
3225843,transit
3294997,transit
1320643,transit
2332966,transit
1320655,transit
2332900,transit
3225929,transit
2332915,transit
1320679,transit
3226528,transit
1721323,transit
1320686,transit
3071540,transit
2163075,transit
2335504,transit
1320691,transit
3294670,transit
3294690,transit
3294697,transit
1320614,transit
1320713,transit
2267899,transit
2267756,transit
1351914,transit
1556485,transit
1543943,transit
2332972,transit
2332909,transit
2332926,transit
1721352,transit
1556615,transit
1556620,transit
2163089,transit
2335510,transit
2272528,transit
0,load
15137401,load
15137501,load
100817763,load
100650947,load
100793055,load
100817812,load
100778484,load
100778441,load
102337613,load
100834090,load
