nodefrom,nodeto,cable,length,PCR
3863668,1320607,BT - Desconocido BT,1.0,0
1320607,3226509,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",37.0,0
3226509,3226520,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",33.0,0
3226520,1320614,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,15137401
3863668,1320619,BT - Desconocido BT,1.0,0
1320619,1320626,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",37.0,0
1320626,2267894,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",34.0,0
1320626,1320713,"BT - RV 0,6/1 KV 4*95 KAL",4.0,0
2267894,2267899,"BT - RV 0,6/1 KV 4*95 KAL",4.0,15137501
2267894,1320703,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",8.0,0
1320703,1351895,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",53.0,0
1320703,2267756,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.0,100817763
1351895,3226539,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",74.0,0
1351895,1351914,"BT - RV 0,6/1 KV 4*25 KAL",12.0,100650947
3226539,1556485,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.74,0
3863668,1320631,BT - Desconocido BT,1.0,0
1320631,3225843,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",80.0,0
3225843,3294997,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",94.0,0
3294997,1543943,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,0
3863668,1320643,BT - Desconocido BT,1.0,0
1320643,2332966,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",117.0,0
2332966,2332972,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.55,0
3863668,1320655,BT - Desconocido BT,1.0,0
1320655,2332900,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",96.0,0
2332900,2332909,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",16.0,100793055
2332900,3225929,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",23.0,0
3225929,2332915,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.0,0
2332915,2332926,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.48,0
3863668,1320679,BT - Desconocido BT,1.0,0
1320679,3226528,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",36.0,0
3226528,1721323,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",35.0,0
1721323,1320686,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",113.0,0
1721323,1721352,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",16.0,100817812
1320686,1556615,"BT - RV 0,6/1 KV 4*95 KAL",6.0,100778484
1320686,3071540,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",35.0,0
3071540,1556620,"BT - RV 0,6/1 KV 4*95 KAL",6.0,100778441
3071540,2163075,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",66.0,0
2163075,2163089,"BT - RV 0,6/1 KV 4*25 KAL",7.0,102337613
2163075,2335504,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",29.0,0
2335504,2335510,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",10.75,0
3863668,1320691,BT - Desconocido BT,1.0,0
1320691,3294670,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",37.0,0
3294670,3294690,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",47.0,0
3294690,3294697,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",68.0,0
3294697,2272528,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,100834090
