nodes,type
3863875,slack
1346283,transit
1351806,transit
1346266,transit
1346278,transit
1402208,transit
1404387,transit
3158077,transit
1404402,transit
1404407,transit
1404417,transit
1346239,transit
1346256,transit
2575552,transit
1346332,transit
1404451,transit
2575601,transit
2579150,transit
1404463,transit
1404468,transit
1404483,transit
3104795,transit
3158024,transit
1404488,transit
2554234,transit
3104810,transit
3104837,transit
2575731,transit
1404521,transit
2554231,transit
3104819,transit
2575834,transit
1404536,transit
2577468,transit
2577489,transit
2577498,transit
1404677,transit
1404692,transit
1404702,transit
1404707,transit
1405881,transit
1404712,transit
2577973,transit
2581175,transit
2578049,transit
2578038,transit
2578079,transit
2768238,transit
2768231,transit
2768226,transit
1404737,transit
2246928,transit
3226443,transit
1346290,transit
1351820,transit
1402217,transit
1404049,transit
1402268,transit
1404412,transit
1404429,transit
1404446,transit
1404458,transit
2537646,transit
1404478,transit
1404504,transit
1404513,transit
3104829,transit
1404526,transit
1404531,transit
2554230,transit
2554250,transit
3104816,transit
1404541,transit
1404682,transit
1404687,transit
1404697,transit
1405886,transit
2227009,transit
1404717,transit
1404722,transit
3195006,transit
1404732,transit
2768244,transit
1404759,transit
2246875,transit
0,load
100699574,load
100700811,load
15155701,load
15130701,load
15130001,load
15130501,load
15130201,load
15130101,load
8933501,load
15130301,load
15130401,load
33956701,load
15129901,load
15128601,load
15128901,load
15129801,load
15128001,load
4278601,load
15129701,load
15129301,load
9083801,load
4278501,load
15128301,load
15129201,load
15128701,load
15137301,load
15128401,load
15128201,load
15128101,load
15127901,load
4284001,load
15172101,load
15171901,load
15171801,load
34629401,load
15127801,load
15172201,load
15171701,load
39118972,load
15172401,load
500000519,load
31971501,load
