ID,PCR,Fase
ZIV0034932710,15137301,(Mono)
ZIV0045440348,15171701,RST
SOG0020022284,15128001,(Mono)
SOG0080002183,15155701,(Mono)
ZIV0034837160,15128701,T
ZIV0034845038,15128901,(Mono)
ZIV0034916808,15130401,R
ZIV0036288254,8933501,RST
ZIV0036289008,4284001,RST
ZIV0036289009,15171701,RST
ZIV0036289009,15171701,(Mono)
ZIV0036291865,34629401,RST
ZIV0036291865,34629401,(Mono)
ZIV0036292195,15130101,RST
ZIV0036292208,100700811,RST
ZIV0036299757,15128601,RST
ZIV0040359328,100699574,R
ZIV0040359329,100699574,T
ZIV0040359330,100699574,S
ZIV0040359331,100699574,T
ZIV0040359332,100699574,R
ZIV0040359333,100699574,T
ZIV0040359337,100699574,S
ZIV0040359358,15128301,S
ZIV0040359358,15128301,(Mono)
ZIV0040359359,15128301,R
ZIV0040359438,15129201,T
ZIV0040359438,15129201,(Mono)
ZIV0040359439,15128401,R
ZIV0040359440,15128201,R
ZIV0040359441,15127801,(Mono)
ZIV0040359441,15127801,(Mono)
ZIV0040359442,15127901,R
ZIV0040359442,15127901,(Mono)
ZIV0040359443,15129701,S
ZIV0040359444,15129901,(Mono)
ZIV0040359445,33956701,S
ZIV0040359446,4278601,R
ZIV0040359447,4278601,T
ZIV0040359458,8933501,R
ZIV0040359459,8933501,R
ZIV0040359460,8933501,T
ZIV0040359461,8933501,S
ZIV0040359462,8933501,R
ZIV0040359463,8933501,S
ZIV0040359464,8933501,S
ZIV0040359465,8933501,T
ZIV0040359466,8933501,R
ZIV0040359467,8933501,S
ZIV0040359468,100699574,R
ZIV0040359469,100699574,T
ZIV0040359470,100699574,R
ZIV0040359471,100699574,T
ZIV0040359472,100699574,S
ZIV0040359473,100699574,R
ZIV0040359474,100699574,S
ZIV0040359475,100699574,S
ZIV0040359476,100699574,S
ZIV0040359545,15172101,R
ZIV0040359545,15172101,(Mono)
ZIV0040359546,15172201,S
ZIV0040359546,15172201,(Mono)
ZIV0040359568,15172101,T
ZIV0040359568,15172101,(Mono)
ZIV0040359569,15172101,R
ZIV0040359569,15172101,(Mono)
ZIV0040359570,31971501,T
ZIV0040359570,31971501,(Mono)
ZIV0040359571,31971501,R
ZIV0040359571,31971501,(Mono)
ZIV0040359572,31971501,T
ZIV0040359572,31971501,(Mono)
ZIV0040359573,39118972,S
ZIV0040359573,39118972,(Mono)
ZIV0040359574,15172101,S
ZIV0040359574,15172101,(Mono)
ZIV0040359575,500000519,R
ZIV0040359575,500000519,(Mono)
ZIV0040359576,15172201,T
ZIV0040359576,15172201,(Mono)
ZIV0040359577,31971501,S
ZIV0040359718,15130301,T
ZIV0040359719,15130701,T
ZIV0040359720,15130201,S
ZIV0040359721,15130501,T
ZIV0040359723,9083801,S
ZIV0040359724,15129301,S
ZIV0040359726,15130701,T
ZIV0040359727,15130001,R
ZIV0040359732,100699574,R
ZIV0040359733,100699574,T
ZIV0040359734,100699574,S
ZIV0040359741,15130501,R
ZIV0040359751,15171801,S
ZIV0040359751,15171801,(Mono)
ZIV0040359752,15172101,S
ZIV0040359752,15172101,(Mono)
ZIV0040359755,100699574,T
ZIV0040359756,15171901,T
ZIV0040359756,15171901,(Mono)
ZIV0040359757,39118972,R
ZIV0040359757,39118972,(Mono)
ZIV0040637083,4284001,RST
ZIV0040637083,4284001,(Mono)
ZIV0040637084,15171901,RST
ZIV0040637084,15171901,(Mono)
ZIV0040637085,15172201,RST
ZIV0040637085,15172201,(Mono)
ZIV0040637087,31971501,RST
ZIV0040637087,31971501,(Mono)
ZIV0040637089,15130101,RST
ZIV0044820002,100699574,R
ZIV0046908836,100699574,S
ZIV0046942631,4278501,(Mono)
ZIV0047741054,500000519,(Mono)
ZIV0050025907,100699574,T
