nodefrom,nodeto,cable,length,PCR
3861621,2519216,BT - Desconocido BT,1.0,0
2519216,2519627,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",31.0,0
2519627,2519632,"BT - RV 0,6/1 KV 4*95 KAL",2.0,39365971
2519627,2519640,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",41.0,0
2519640,2612907,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",16.0,0
2612907,2519431,"BT - RV 0,6/1 KV 4*95 KAL",3.0,4285501
2612907,2612904,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",27.0,0
2519431,2519436,BT - MANGUERA,3.0,0
2612904,2519444,"BT - RV 0,6/1 KV 4*95 KAL",3.0,100591477
2612904,2612901,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",23.0,0
2612901,2519452,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,36767401
2612901,2612898,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",27.0,0
2612898,2519460,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.0,15179001
2612898,108029,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",11.0,0
2519460,2580509,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",1.0,15179002
2580509,2580484,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",13.0,15179101
2580484,3387412,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",1.58,15179102
