node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.84270253953002,230.84775797469453,230.89328570133955,0.03528222007989359,230.84270254958412,230.8477579802227,230.89328568544514,0.03528224013242591
2,227.83945193656726,227.97079014373378,229.44280682461414,1.7266111328463145,227.8394522649327,227.97079032113044,229.4428063092585,1.7266118250003515
3,224.24534761377325,224.51938766356395,227.76881404849104,4.1269084842356705,224.24534836775183,224.51938806311097,227.7688128715762,4.126910279500304
4,222.84375718449624,223.1736425180543,227.11555308458497,5.069198152258243,222.8437581058679,223.17364300284817,227.11555164950622,5.069200373804721
5,220.91869156059812,221.08870436489136,226.19038010777206,6.566315253437559,220.91869274915274,221.08870498905995,226.19037825389637,6.566318291650541
6,219.68758874761397,219.64025583402105,225.6728098796609,7.800519629302668,219.68759011895884,219.6402565757201,225.67280771407792,7.8005232839297864
7,218.864956069221,218.19274948547505,225.14648105676636,8.83859767306041,218.86495762030216,218.19275033082627,225.14647859176333,8.83860205684651
8,222.76918266426418,223.14215578272456,227.085278843544,5.082569243411234,222.76918358766338,223.14215626772366,227.0852774066055,5.082571453548414
9,218.86495606922097,218.1927494854751,225.1464810567664,8.83859767306042,218.86495762030216,218.19275033082624,225.14647859176333,8.8386020568465
10,227.80966540974123,227.94547207067683,229.42585048199464,1.7210633260836898,227.8096657381567,227.9454722480851,229.4258499667081,1.7210640066434901
11,222.76918266426424,223.1421557827246,227.085278843544,5.082569243411233,222.76918358766338,223.14215626772366,227.0852774066055,5.082571453548414
12,220.83694784155958,221.02228371490327,226.1354038999664,6.574405386352217,220.8369490364449,221.02228433872716,226.13540204018494,6.574408433784589
13,219.6184365893974,219.6122569634511,225.66378345991788,7.850254803956056,219.6184379646767,219.61225770883354,225.66378128694612,7.850258456219986
14,218.80402752382977,218.0855636911145,225.10749423432227,8.917411265975415,218.80402908824416,218.08556454409754,225.10749174713982,8.917415702962495
15,218.78464772018654,218.0792652609336,225.0994930759948,8.90659587832396,218.78464928607067,218.07926611497695,225.09949058687525,8.906600315186065
16,218.5330115791514,217.9974249390979,224.99548618661183,8.77340217415075,218.533013164187,217.99742580691444,224.9954836723078,8.77340660242509
17,218.53301157915143,217.99742493909793,224.9954861866118,8.773402174150776,218.533013164187,217.99742580691444,224.9954836723078,8.77340660242509
