nodefrom,nodeto,cable,length,kind,PCR
3863081,41598,BT - Desconocido BT,1.0,Subterráneo,0
41598,3225447,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",20.13,Subterráneo,0
3225447,41677,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",11.81,Subterráneo,0
41677,3324495,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",7.14,Aéreo,0
3324495,3324492,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",15.97,Aéreo,0
3324492,2577628,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",24.61,Aéreo,15117801
2577628,2577609,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",24.83,Aéreo,15117701
2577609,2577599,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",20.96,Aéreo,8897201
2577599,2577589,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",17.13,Aéreo,15117401
2577589,2577579,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",23.43,Aéreo,15156201
2577579,2578019,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",19.93,Aéreo,15156101
2578019,2578068,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",18.86,Aéreo,15156001
2578068,3324130,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",8.66,Aéreo,0
3324130,3324471,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.37,Subterráneo,0
3324471,3324452,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.06,Subterráneo,0
3324452,1474146,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.61,Subterráneo,0
3863081,3358749,BT - Desconocido BT,1.0,Subterráneo,0
3358749,3358715,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",18.61,Subterráneo,0
3358715,3358692,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",21.01,Subterráneo,0
3358692,3358690,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",19.77,Aéreo,0
3358690,43446,"BT - RZ 0,6/1 KV 3*35 AL/54,6 ALM",10.3,Aéreo,15195501
3358690,3358686,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.18,Aéreo,15195401
