nodefrom,nodeto,cable,length,kind,PCR
3861988,1812326,BT - Desconocido BT,1.0,Subterráneo,0
1812326,3514290,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",4.3,Subterráneo,0
3514290,1819188,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.22,Subterráneo,100155916
3514290,1812452,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",11.44,Subterráneo,0
1812452,1812457,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,Subterráneo,101627914
1812452,1812462,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.0,Subterráneo,101623564
3861988,1812333,BT - Desconocido BT,1.0,Subterráneo,0
1812333,1812363,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",19.0,Subterráneo,0
1812363,1812368,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.0,Subterráneo,100155998
1812363,1812373,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",44.0,Subterráneo,0
1812373,1812379,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,Subterráneo,0
1812373,1812413,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",53.0,Subterráneo,0
1812379,1812378,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",44.0,Subterráneo,0
1812379,1812388,"BT - RV 0,6/1 KV 4*25 KAL",4.0,Subterráneo,101628141
1812413,1812418,"BT - RV 0,6/1 KV 4*25 KAL",12.0,Subterráneo,0
1812413,1812427,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",31.0,Subterráneo,0
1812413,2231890,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.0,Subterráneo,500000148
1812413,3225376,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",13.0,Subterráneo,0
1812378,1812393,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,Subterráneo,101626315
1812378,1812398,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",13.0,Subterráneo,0
1812418,2034807,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.65,Subterráneo,0
1812427,1812432,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,Subterráneo,101628062
1812427,1812437,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",17.0,Subterráneo,0
3225376,2475384,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",67.0,Subterráneo,0
1812398,1812403,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.87,Subterráneo,0
1812398,1812408,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",20.0,Subterráneo,101628081
1812437,1812442,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,Subterráneo,101628071
1812437,1812447,"BT - RV 0,6/1 KV 3(1*240 KAL) + 1*150 KAL",2.0,Subterráneo,0
2475384,2249323,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",53.0,Aéreo,0
3861988,1812347,BT - Desconocido BT,1.0,Subterráneo,0
1812347,3225385,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",15.0,Subterráneo,0
3225385,3225394,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",108.0,Subterráneo,0
3225394,2034837,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",15.1,Subterráneo,0
3861988,2232428,BT - Desconocido BT,1.0,Subterráneo,0
2232428,3225361,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",28.94,Subterráneo,0
3225361,3358445,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",81.45,Subterráneo,0
3358445,2232480,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",70.23,Subterráneo,0
3358445,3358467,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",23.76,Subterráneo,0
2232480,954350,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.32,Subterráneo,15152501
2232480,1570651,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",45.53,Subterráneo,0
3358467,3358535,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.85,Subterráneo,0
3358467,3379042,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",1.81,Subterráneo,500009217
1570651,1570656,"BT - RV 0,6/1 KV 4*25 KAL",1.87,Subterráneo,15152901
1570651,1856567,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",61.31,Subterráneo,0
3358535,2577928,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",7.16,Aéreo,15153601
1856567,1856564,"BT - RV 0,6/1 KV 2*25 KAL",6.14,Subterráneo,100764552
1856567,2341888,"BT - RV 0,6/1 KV 2*25 KAL",6.83,Subterráneo,15153001
2577928,3541098,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",20.63,Aéreo,0
3541098,3358620,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",25.93,Aéreo,0
3541098,3541096,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",1.89,Aéreo,0
3358620,2524749,"BT - RZ 0,6/1 KV 2*16 AL",2.26,Aéreo,500006059
3358620,3358605,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",14.25,Aéreo,15153401
3358605,3358612,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",10.48,Aéreo,15153301
3358612,3358543,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",9.13,Aéreo,0
3358543,3324480,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",38.73,Subterráneo,0
3324480,3358615,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.23,Subterráneo,0
3358615,3358671,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",4.79,Subterráneo,0
3861988,2232440,BT - Desconocido BT,1.0,Subterráneo,0
2232440,3225357,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",28.0,Subterráneo,0
3225357,2232475,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",153.77,Subterráneo,0
2232475,2232466,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",26.0,Subterráneo,0
